"","City","ProtestCount"
"1010","Fort Washington, PA",1
"1011","Fort Wayne, IN",14
"1012","Fort Worth, TX",16
"1013","Fortuna, CA",1
"1014","Fostoria, OH",1
"1015","Fountain Hills, AZ",2
"1016","Fox Point, WI",1
"1017","Foxboro, MA",1
"1018","Framingham, MA",8
"1019","Frankford, DE",1
"1020","Frankfort, KY",3
"1021","Franklin Park, PA",1
"1022","Franklin Square, NY",1
"1023","Franklin, KY",1
"1024","Franklin, NJ",1
"1025","Franklin, PA",1
"1026","Franklin, TN",3
"1027","Franklin, VA",1
"1028","Franklinville, NJ",5
"1029","Franklinville, NY",1
"1030","Frankton, IN",1
"1031","Fraser, CO",2
"1032","Frazier Park, CA",1
"1033","Frederick, MD",6
"1034","Fredericksburg, TX",1
"1035","Fredericksburg, VA",12
"1036","Freeburg, IL",1
"1037","Freehold, NJ",2
"1038","Freemont, CA",1
"1039","Freeport, IL",1
"1040","Freeport, NY",3
"1041","Freeport, TX",1
"1042","Fremont, CA",9
"1043","Fremont, NE",3
"1044","Fremont, OH",1
"1045","Fresno, CA",7
"1046","Friday Harbor, WA",2
"1047","Fridley, MN",1
"1048","Friendswood, TX",1
"1049","Frisco, TX",3
"1050","Front Royal, VA",1
"1051","Frontenac, MO",1
"1052","Frostburg, MD",3
"1053","Fryeburg, ME",1
"1054","Fullerton, CA",3
"1055","Fulton, MO",3
"1056","Gadsden County, FL",1
"1057","Gadsden, AL",9
"1058","Gaffney, SC",2
"1059","Gahanna, OH",1
"1060","Gainesville, FL",5
"1061","Gainesville, GA",7
"1062","Gainesville, TX",2
"1063","Gainesville, VA",1
"1064","Gaithersberg, MD",1
"1065","Gaithersburg, MD",3
"1066","Galax, VA",1
"1067","Galesburg, IL",2
"1068","Gallipolis, OH",1
"1069","Galloway, NJ",1
"1070","Gallup, NM",2
"1071","Galveston, TX",2
"1072","Garberville, CA",1
"1073","Garden City, KS",1
"1074","Garden City, NY",1
"1075","Gardena, CA",1
"1076","Gardner, KS",1
"1077","Gardner, MA",1
"1078","Garrettsville, OH",2
"1079","Gary, IN",4
"1080","Gastonia, NC",2
"1081","Gaylord, MI",1
"1082","Geneseo, NY",1
"1083","Geneva, IL",1
"1084","Geneva, NY",2
"1085","Georgetown, IL",1
"1086","Georgetown, KY",1
"1087","Georgetown, SC",3
"1088","Georgetown, TX",4
"1089","Germantown, MD",2
"1090","Germantown, OH",1
"1091","Germantown, TN",2
"1092","Gettysburg, PA",7
"1093","Gettysburg, SD",2
"1094","Gibson City, IL",1
"1095","Gifford, FL",1
"1096","Gig Harbor, WA",1
"1097","Gilbert, AZ",6
"1098","Gillette, WY",1
"1099","Gilroy, CA",1
"1100","Gladwin, MI",1
"1101","Glasgow, KY",1
"1102","Glassboro, NJ",2
"1103","Glastonbury, CT",1
"1104","Glen Cove, NY",1
"1105","Glen Ellyn, IL",1
"1106","Glen Ridge, NJ",1
"1107","Glenarden, MD",1
"1108","Glendale, CA",3
"1109","Glendale, MO",1
"1110","Glendora, CA",1
"1111","Glenolden, PA",1
"1112","Glens Falls, NY",3
"1113","Glenshaw, PA",2
"1114","Glenview, IL",2
"1115","Glenwood Springs, CO",1
"1116","Gloucester City, NJ",1
"1117","Gloucester, MA",3
"1118","Gloucester, VA",3
"1119","Golden, CO",1
"1120","Goldsboro, NC",1
"1121","Gonzales, LA",3
"1122","Gorham, ME",1
"1123","Gorham, NH",1
"1124","Goshen, IN",7
"1125","Goshen, NY",2
"1126","Grafton, MA",1
"1127","Grafton, WI",1
"1128","Graham, NC",17
"1129","Granbury, TX",1
"1130","Granby, CT",1
"1131","Grand Blanc, MI",1
"1132","Grand Chute, WI",1
"1133","Grand Forks, ND",4
"1134","Grand Island, NE",2
"1135","Grand Junction, CO",3
"1136","Grand Marais, MN",1
"1137","Grand Prairie, TX",1
"1138","Grand Rapids, MI",11
"1139","Grandview, MO",1
"1140","Grandview, WA",1
"1141","Granite Falls, WA",2
"1142","Grants Pass, OR",2
"1143","Granville, OH",1
"1144","Grasonville, MD",1
"1145","Grass Valley, CA",1
"1146","Grayslake, IL",1
"1147","Grayson, KY",5
"1148","Grayton Beach, FL",1
"1149","Great Barrington, MA",3
"1150","Great Bend, KS",1
"1151","Great Falls, MT",3
"1152","Great Neck Estates, NY",1
"1153","Greece, NY",1
"1154","Greeley, CO",1
"1155","Green Bay, MN",1
"1156","Green Bay, WI",10
"1157","Green Valley, AZ",1
"1158","Greencastle, IN",1
"1159","Greencastle, PA",1
"1160","Greeneville, TN",1
"1161","Greenfield, IN",3
"1162","Greenfield, MA",6
"1163","Greenlawn, NY",1
"1164","Greensboro, NC",10
"1165","Greensburg, PA",4
"1166","Greenville, KY",1
"1167","Greenville, MS",1
"1168","Greenville, NC",1
"1169","Greenville, NY",1
"1170","Greenville, PA",1
"1171","Greenville, SC",7
"1172","Greenville, TX",1
"1173","Greenwich, CT",5
"1174","Greenwich, NY",14
"1175","Greenwood Village, CO",2
"1176","Greenwood, IN",1
"1177","Greenwood, MS",1
"1178","Greenwood, SC",1
"1179","Gresham, OR",8
"1180","Griffith, IN",2
"1181","Griswold, CT",1
"1182","Grosse Ile, MI",1
"1183","Grosse Point Woods, MI",1
"1184","Grosse Point, MI",1
"1185","Grosse Pointe City, MI",1
"1186","Groton, CT",1
"1187","Grottoes, VA",1
"1188","Grove City, OH",1
"1189","Grove City, PA",2
"1190","Grove, OK",1
"1191","Grovetown, GA",1
"1192","Grundy Center, IA",1
"1193","Guilford, CT",1
"1194","Guilford, ME",1
"1195","Gulfport, FL",1
"1196","Gulfport, MS",4
"1197","Gunnison, CO",1
"1198","Gustine, CA",2
"1199","Hackensack, NJ",2
"1200","Hackettstown, NJ",1
"1201","Haddam Killingworth, CT",1
"1202","Haddonfield, NJ",1
"1203","Hagåtña, GU",1
"1204","Hagerstown, MD",2
"1205","Hailey, ID",1
"1206","Haines City, FL",1
"1207","Haines, AK",1
"1208","Halethorpe, MD",1
"1209","Half Moon Bay, CA",3
"1210","Hamburg, PA",1
"1211","Hamden, CT",5
"1212","Hamilton, MT",2
"1213","Hamilton, NJ",1
"1214","Hamilton, NY",1
"1215","Hamilton, OH",4
"1216","Hammond, IN",3
"1217","Hammond, LA",1
"1218","Hampton, NH",1
"1219","Hampton, VA",6
"1220","Hanalei, HI",1
"1221","Hancock, MI",3
"1222","Hanford, CA",1
"1223","Hannibal, MO",3
"1224","Hanover, NH",3
"1225","Hanover, PA",3
"1226","Happy Valley, OR",1
"1227","Hardy, VA",1
"1228","Harlan, KY",1
"1229","Harlingen, TX",2
"1230","Harper Woods, MI",1
"1231","Harrisburg, NC",2
"1232","Harrisburg, PA",14
"1233","Harrison, AR",4
"1234","Harrisonburg, VA",3
"1235","Harrisville, MI",1
"1236","Harrodsburg, KY",1
"1237","Hartford, CT",23
"1238","Hartwell, GA",1
"1239","Harvard, NE",1
"1240","Harvey, LA",2
"1241","Harwich, MA",1
"1242","Hasbrouck Heights, NJ",1
"1243","Hastings, NE",1
"1244","Hattiesburg, MS",7
"1245","Haughton, LA",1
"1246","Hauppauge, NY",1
"1247","Haverhill, MA",10
"1248","Havertown, PA",1
"1249","Haviland, KS",1
"1250","Havre de Grace, MD",1
"1251","Havre, MT",1
"1252","Hawley, PA",1
"1253","Hawthorne, NJ",1
"1254","Hays, KS",1
"1255","Hayward, CA",6
"1256","Hayward, WI",1
"1257","Hazard, KY",1
"1258","Hazlet, NJ",2
"1259","Hazleton, PA",1
"1260","Healdburg, CA",1
"1261","Healdsburg, CA",3
"1262","Healy, AK",1
"1263","Hebron, CT",1
"1264","Helena, MT",4
"1265","Hellertown, PA",1
"1266","Hemet, CA",1
"1267","Hempstead, NY",2
"1268","Henderson, KY",2
"1269","Henderson, NC",1
"1270","Hendersonville, NC",3
"1271","Henrico, VA",1
"1272","Henryville, IN",1
"1273","Hermiston, OR",2
"1274","Hermitage, PA",2
"1275","Hernando, MS",2
"1276","Herndon, VA",1
"1277","Herrin, IL",2
"1278","Hershey, PA",1
"1279","Hewlett, NY",3
"1280","Hiawassee, GA",1
"1281","Hibbing, MN",2
"1282","Hickory, NC",3
"1283","High Point, NC",2
"1284","Highland Falls, NY",1
"1285","Highland Park, IL",2
"1286","Highland Park, MI",1
"1287","Highland Park, NJ",1
"1288","Highland, CA",1
"1289","Highland, IL",2
"1290","Highland, IN",1
"1291","Highstown, NJ",1
"1292","Hightstown, NJ",1
"1293","Hilliard, OH",3
"1294","Hillsboro, OH",1
"1295","Hillsboro, OR",3
"1296","Hillsborough, NC",1
"1297","Hillsborough, NJ",1
"1298","Hillsdale, MI",1
"1299","Hillside, NJ",1
"1300","Hilo, HI",29
"1301","Hinesburg, VT",1
"1302","Hinesville, GA",1
"1303","Hingham, MA",1
"1304","Hinsdale, IL",1
"1305","Hitchcock, TX",1
"1306","Hobart, IN",2
"1307","Hobe Sound, FL",1
"1308","Hoboken, NJ",1
"1309","Holbrook, MA",1
"1310","Holden, MA",1
"1311","Holland, MI",3
"1312","Holland, OH",1
"1313","Hollidaysburg, PA",1
"1314","Hollister, CA",1
"1315","Holly Springs, MS",1
"1316","Holly Springs, NC",1
"1317","Hollywood, CA",2
"1318","Hollywood, FL",2
"1319","Holyoke, MA",1
"1320","Homer, AK",8
"1321","Homer, NY",2
"1322","Homestead, FL",1
"1323","Homewood, AL",1
"1324","Homewood, IL",1
"1325","Hondo, TX",2
"1326","Honesdale, PA",1
"1327","Honesville, NY",1
"1328","Honolulu, HI",4
"1329","Hood River, OR",4
"1330","Hood Rivier, OR",1
"1331","Hoosick Falls, NY",1
"1332","Hoover, AL",5
"1333","Hopatcong, NJ",1
"1334","Hopewell, NJ",1
"1335","Hopkinsville, KY",2
"1336","Hopkinton, MA",1
"1337","Hornell, NY",1
"1338","Horsham, PA",1
"1339","Hot Springs, AR",1
"1340","Houghton, MI",5
"1341","Houlton, ME",1
"1342","Houma, LA",2
"1343","Houston, TX",19
"1344","Howe, TX",1
"1345","Howell, MI",2
"1346","Huber Heights, OH",1
"1347","Hudson, NY",3
"1348","Hudson, OH",1
"1349","Humboldt, TN",1
"1350","Hummelstown, PA",1
"1351","Huntingdon, PA",2
"1352","Huntington Beach, CA",10
"1353","Huntington Station, NY",1
"1354","Huntington Woods, MI",1
"1355","Huntington, IN",1
"1356","Huntington, NA",1
"1357","Huntington, NY",2
"1358","Huntington, WV",1
"1359","Huntley, IL",1
"1360","Huntsville, AL",6
"1361","Huntsville, TX",3
"1362","Huron, MI",1
"1363","Hutchinson, KS",4
"1364","Hutto, TX",1
"1365","Hyannis, MA",2
"1366","Hyattsville, MD",1
"1367","Idaho Falls, ID",4
"1368","Immokalee, FL",2
"1369","Imperial Beach, CA",4
"1370","Indiana, PA",2
"1371","Indianapolis, IA",1
"1372","Indianapolis, IN",25
"1373","Indianola, MS",1
"1374","Indiantown, FL",1
"1375","Indio, CA",1
"1376","Inglewood, CA",2
"1377","Ionia, MI",1
"1378","Iowa City, IA",21
"1379","Iron Mountain, MI",1
"1380","Ironwood, MI",2
"1381","Irvine, CA",4
"1382","Irwin, PA",1
"1383","Islip, NY",1
"1384","Issaquah, WA",2
"1385","Ithaca, NY",17
"1386","Itta Bena, MS",1
"1387","Jackson, MI",2
"1388","Jackson, MS",7
"1389","Jackson, NJ",1
"1390","Jackson, TN",4
"1391","Jackson, WY",2
"1392","Jacksonville Beach, FL",1
"1393","Jacksonville, AL",1
"1394","Jacksonville, AR",2
"1395","Jacksonville, FL",11
"1396","Jacksonville, IL",1
"1397","Jacksonville, NC",1
"1398","Jacksonville, TX",1
"1399","Jamaica, NY",1
"1400","Jamestown, ND",1
"1401","Jamestown, NY",1
"1402","Jamestown, RI",1
"1403","Janesville, WI",3
"1404","Jasper, AL",1
"1405","Jasper, IN",1
"1406","Jasper, TX",1
"1407","Jeanette, PA",1
"1408","Jeannette, PA",1
"1409","Jefferson City, MO",8
"1410","Jefferson, GA",1
"1411","Jefferson, TX",1
"1412","Jefferson, WI",1
"1413","Jeffersonville, GA",1
"1414","Jeffersonville, IN",4
"1415","Jenison, MI",1
"1416","Jenkintown, PA",1
"1417","Jensen Beach, FL",2
"1418","Jericho, VT",1
"1419","Jersey City, NJ",6
"1420","Jerseyville, IL",1
"1421","Jesup, GA",1
"1422","Jim Thorpe, PA",1
"1423","John Day, OR",1
"1424","Johnson City, TN",8
"1425","Johnstown, PA",2
"1426","Joliet, IL",11
"1427","Jonesboro, AR",2
"1428","Jonesboro, GA",1
"1429","Jonesborough, GA",1
"1430","Joplin, MO",4
"1431","Joshua Tree, CA",1
"1432","Julian, CA",2
"1433","Junction City, KS",1
"1434","Juneau, AK",2
"1435","Jupiter Farms, FL",2
"1436","Jupiter, FL",2
"1437","Kahului, HI",2
"1438","Kailua-Kona, HI",3
"1439","Kailua, HI",1
"1440","Kalamazoo, MI",12
"1441","Kalispell, MT",2
"1442","Kanab, UT",1
"1443","Kane, PA",1
"1444","Kankakee, IL",1
"1445","Kansas City, KS",5
"1446","Kansas City, MO",33
"1447","Kansasville, WI",1
"1448","Kapolei, HI",1
"1449","Kasson, MI",1
"1450","Katonah, NY",1
"1451","Katy, TX",1
"1452","Keansburg, NJ",1
"1453","Kearney, NE",1
"1454","Keene, NH",8
"1455","Keller, TX",2
"1456","Kelso, WA",2
"1457","Kenly, NC",1
"1458","Kennebunk, ME",2
"1459","Kennesaw, GA",2
"1460","Kennett Square, PA",1
"1461","Kennewick, WA",6
"1462","Kenosha, WI",13
"1463","Kent, CT",1
"1464","Kent, OH",5
"1465","Keokuk, IA",2
"1466","Kerrville, TX",1
"1467","Ketchikan, AK",2
"1468","Ketchum, ID",1
"1469","Kettering, OH",1
"1470","Kewanee, IL",2
"1471","Kewaunee, WI",3
"1472","Key Largo, FL",1
"1473","Key West, FL",3
"1474","Keyser, WV",1
"1475","Keystone, SD",1
"1476","Kiel, WI",1
"1477","Kilgore, TX",1
"1478","Killeen, TX",3
"1479","Killingly, CT",2
"1480","Kilmarnock, VA",1
"1481","Kinderhook, NY",2
"1482","King George, VA",1
"1483","King of Prussia, PA",1
"1484","King, NC",1
"1485","Kingman, AZ",1
"1486","Kingston, NY",5
"1487","Kingston, PA",2
"1488","Kingsville, TX",1
"1489","Kinston, NC",1
"1490","Kirkland, WA",2
"1491","Kirksville, MO",1
"1492","Kirkwood, MO",3
"1493","Kissimmee, FL",1
"1494","Kittanning, PA",1
"1495","Klamath Falls, OR",3
"1496","Knightdale, NC",1
"1497","Knoxville, TN",11
"1498","Kodiak, AK",1
"1499","Kokomo, IN",3
"1500","Kotzebue, AK",1
"1501","Kremmling, CO",2
"1502","Kresgeville, PA",1
"1503","Kutztown, PA",1
"1504","La Center, WA",1
"1505","La Conner, WA",1
"1506","La Crosse, WI",3
"1507","La Grande, OR",3
"1508","La Grange, IL",2
"1509","La Habra, CA",1
"1510","La Marque, TX",1
"1511","La Mesa, CA",5
"1512","La Plata, MD",1
"1513","La Porte, IN",1
"1514","La Porte, TX",2
"1515","La Puente, CA",1
"1516","La Quinta, CA",1
"1517","La Salle, IL",2
"1518","La Verne, CA",1
"1519","Laconia, NH",3
"1520","LaCrosse, WI",1
"1521","Ladue, MO",1
"1522","Lafayette Hill, PA",2
"1523","Lafayette, CA",4
"1524","Lafayette, CO",1
"1525","Lafayette, IA",1
"1526","Lafayette, IN",7
"1527","Lafayette, LA",10
"1528","LaGrange, GA",1
"1529","LaGrange, KY",1
"1530","Laguna Beach, CA",1
"1531","Laguna Niguel, CA",2
"1532","Laguna Woods, CA",1
"1533","Lake Arthur, LA",1
"1534","Lake Buena Vista, FL",2
"1535","Lake Charles, LA",2
"1536","Lake City, FL",2
"1537","Lake Elsinore, CA",1
"1538","Lake Forest, CA",1
"1539","Lake Forest, IL",1
"1540","Lake Forest, WA",1
"1541","Lake Havasu City, CA",1
"1542","Lake Havasu, AZ",1
"1543","Lake Mills, WI",1
"1544","Lake Orion, MI",1
"1545","Lake Oswego, OR",1
"1546","Lake Placid, NY",1
"1547","Lake Station, IN",2
"1548","Lake Stevens, WA",1
"1549","Lake Worth Beach, FL",1
"1550","Lake Worth, FL",1
"1551","Lakeland, FL",2
"1552","Lakeview, OR",1
"1553","Lakewood, CA",2
"1554","Lakewood, NJ",1
"1555","Lakewood, OH",1
"1556","Lambertville, MI",1
"1557","Lambertville, NJ",2
"1558","Lampasas, TX",1
"1559","Lancaster Township, PA",1
"1560","Lancaster, CA",1
"1561","Lancaster, OH",8
"1562","Lancaster, PA",16
"1563","Lander, WY",1
"1564","Landover, MD",1
"1565","Lansdale, PA",4
"1566","Lansdowne, PA",1
"1567","Lansford, PA",1
"1568","Lansing, MI",16
"1569","Lapeer, MI",2
"1570","LaPlace, LA",1
"1571","Laramie, WY",5
"1572","Laredo, TX",3
"1573","Largo, FL",1
"1574","Larkspur, CA",5
"1575","Las Cruces, NM",8
"1576","Las Vegas, NV",21
"1577","Lathrop, CA",1
"1578","Latrobe, PA",1
"1579","Lauderhill, FL",1
"1580","Laurel, MD",1
"1581","Laurel, MS",2
"1582","Laurinburg, NC",1
"1583","Lawrence, KS",6
"1584","Lawrence, MA",3
"1585","Lawrenceville, GA",1
"1586","Lawrenceville, VA",1
"1587","Lawton, OK",3
"1588","Le Mars, IA",1
"1589","League City, TX",3
"1590","Leavenworth, KS",1
"1591","Leavenworth, WA",1
"1592","Lebanon, OH",1
"1593","Lebanon, OR",3
"1594","Lebanon, PA",5
"1595","Lebanon, VA",1
"1596","Lebec, CA",1
"1597","Ledyard, CT",2
"1598","Lee's Summit, MO",1
"1599","Leesburg, FL",1
"1600","Leesburg, VA",1
"1601","Leesville, LA",1
"1602","Lehigh Acres, FL",1
"1603","Lehighton, PA",5
"1604","Leitchfield, KY",1
"1605","Lemoore, CA",1
"1606","Lenoir, NC",1
"1607","Leominster, MA",1
"1608","Leonardtown, MD",1
"1609","Levelland, TX",1
"1610","Levittown, NY",1
"1611","Levittown, PA",1
"1612","Lewisburg, PA",3
"1613","Lewisburg, WV",1
"1614","Lewiston, ID",2
"1615","Lewiston, ME",2
"1616","Lewistown, PA",4
"1617","Lewisville, TX",2
"1618","Lexington, KY",17
"1619","Lexington, MA",1
"1620","Lexington, NC",3
"1621","Lexington, VA",1
"1622","Libby, MT",2
"1623","Liberal, KS",1
"1624","Liberty, OH",1
"1625","Lidenhurst, NY",1
"1626","Lihue, HI",1
"1627","Lima, OH",2
"1628","Lincoln Park, MI",1
"1629","Lincoln, NE",12
"1630","Linden, NJ",1
"1631","Lisbon, OH",1
"1632","Litchfield, CT",1
"1633","Lititz, PA",1
"1634","Little Elm, TX",1
"1635","Little Rock, AR",10
"1636","Littleton, NH",1
"1637","Livermore, CA",4
"1638","Livingston Manor, NY",2
"1639","Livingston, NJ",2
"1640","Livonia, MI",5
"1641","Lock Haven, PA",3
"1642","Lockhart, TX",1
"1643","Lockport, NY",1
"1644","Lodi, CA",6
"1645","Logan, UT",1
"1646","Logan, WV",1
"1647","Lompoc, CA",3
"1648","London, KY",1
"1649","Londonderry, NH",1
"1650","Long Beach Island, NJ",1
"1651","Long Beach, CA",8
"1652","Long Beach, NY",1
"1653","Long Beach, WA",1
"1654","Long Branch, NJ",2
"1655","Long Island City, NY",1
"1656","Longmeadow, MA",14
"1657","Longmont, CO",6
"1658","Longmount, CO",1
"1659","Longs, SC",1
"1660","Longview, MI",1
"1661","Longview, TX",4
"1662","Longview, WA",5
"1663","Loomis, CA",2
"1664","Lopez Island, WA",1
"1665","Lorain, OH",3
"1666","Los Alamitos, CA",1
"1667","Los Alamos, NM",2
"1668","Los Altos, CA",3
"1669","Los Angeles, CA",131
"1670","Los Angeles, LA",1
"1671","Los Banos, CA",1
"1672","Los Gatos, CA",8
"1673","Los Vegas, NV",1
"1674","Louisa, VA",2
"1675","Louisiana, MO",1
"1676","Louisville, KY",52
"1677","Loveland, CO",2
"1678","Lowell, IN",1
"1679","Lowell, MA",4
"1680","Lower Makefield, PA",1
"1681","Lower Providence, PA",1
"1682","Lowville, NY",1
"1683","Lubbock, TX",4
"1684","Ludington, MI",1
"1685","Ludlow, MA",1
"1686","Ludlow, VT",1
"1687","Ludowici, GA",1
"1688","Lufkin, TX",2
"1689","Lula, GA",1
"1690","Lumberton, NC",4
"1691","Lunenburg, MA",1
"1692","Luray, VA",1
"1693","Lykens, PA",1
"1694","Lyle, OR",1
"1695","Lyle, WA",1
"1696","Lyme, CT",1
"1697","Lynchburg, VA",6
"1698","Lynn Haven, FL",1
"1699","Lynn, MA",5
"1700","Lynnfield, MA",1
"1701","Lynnwood, CA",1
"1702","Lynnwood, WA",2
"1703","Lyons, CO",1
"1704","Lyons, NY",1
"1705","Machias, ME",1
"1706","Mackinac Island, MI",1
"1707","Macomb, IL",3
"1708","Macon, GA",7
"1709","Madera, CA",1
"1710","Madison, AL",1
"1711","Madison, CT",2
"1712","Madison, MS",1
"1713","Madison, NJ",1
"1714","Madison, TN",1
"1715","Madison, WI",39
"1716","Madisonville, KY",3
"1717","Magdalena, NM",1
"1718","Maggie Valley, NC",3
"1719","Mahomet, IL",1
"1720","Malibu, CA",1
"1721","Malvern, PA",1
"1722","Malverne, NY",1
"1723","Mamaroneck, NY",1
"1724","Manassas, VA",4
"1725","Manchester, CT",4
"1726","Manchester, MD",1
"1727","Manchester, NH",4
"1728","Manchester, NJ",1
"1729","Manchester, VT",2
"1730","Manhattan Beach, CA",2
"1731","Manhattan, KS",6
"1732","Manheim, PA",4
"1733","Manitowoc, WI",1
"1734","Mankato, MN",2
"1735","Manlius, NY",1
"1736","Mansfield, LA",1
"1737","Mansfield, MA",2
"1738","Mansfield, OH",4
"1739","Mansfield, PA",2
"1740","Mansfield, TX",2
"1741","Manteca, CA",1
"1742","Manteo, NC",1
"1743","Manzanita, OR",1
"1744","Maple Valley, WA",1
"1745","Maplewood, MN",1
"1746","Maplewood, NJ",1
"1747","Maquoketa, IA",1
"1748","Marblehead, MA",1
"1749","Marco Island, FL",2
"1750","Marfa, TX",1
"1751","Maricopa, AZ",2
"1752","Marietta, GA",2
"1753","Marietta, OH",2
"1754","Marietta, WV",1
"1755","Marin City, CA",5
"1756","Marina, CA",1
"1757","Marine City, MI",1
"1758","Marinette, WI",1
"1759","Marion, IA",1
"1760","Marion, IL",1
"1761","Marion, IN",3
"1762","Marion, NC",1
"1763","Marion, OH",3
"1764","Marion, VA",6
"1765","Marlborough, MA",1
"1766","Marple, PA",1
"1767","Marquette, MI",8
"1768","Marrero, LA",1
"1769","Mars, PA",1
"1770","Marshall, MI",1
"1771","Marshall, MO",1
"1772","Marshall, NC",1
"1773","Marshall, TX",9
"1774","Marshalltown, IA",1
"1775","Marshfield, MA",2
"1776","Marshfield, WI",1
"1777","Martin, TN",1
"1778","Martinez, CA",2
"1779","Martinsburg, WV",3
"1780","Martinsville, IN",3
"1781","Marysville, OH",1
"1782","Maryville, MO",1
"1783","Maryville, TN",1
"1784","Mascoutah, IL",1
"1785","Mashpee, MA",1
"1786","Mason City, IA",1
"1787","Mason, OH",1
"1788","Massapequa, NY",1
"1789","Massena, NY",2
"1790","Mathews, VA",1
"1791","Mattapoisett, MA",1
"1792","Matteson, IL",1
"1793","Mattoon, IL",1
"1794","Maui, HI",3
"1795","Maumee, OH",1
"1796","Maynard, MA",1
"1797","Maysville, KY",1
"1798","Maywood, IL",1
"1799","McAlester, OK",1
"1800","McAllen, TX",2
"1801","McConnellsburg, PA",1
"1802","McCook, NE",1
"1803","McDonough, GA",2
"1804","McHenry, IL",1
"1805","McKees Rocks, PA",1
"1806","McKeesport, PA",1
"1807","McKinney, TX",6
"1808","McMinnville, OR",2
"1809","McMinnville, TN",1
"1810","McPherson, KS",1
"1811","Meadville, PA",1
"1812","Mechanicsburg, PA",1
"1813","Mechanicville, NY",1
"1814","Medford, OR",2
"1815","Media, PA",1
"1816","Medina, OH",3
"1817","Memphis, TN",38
"1818","Mendocino, CO",1
"1819","Mendon, MA",1
"1820","Menlo Park, CA",4
"1821","Menominee, MI",1
"1822","Menomonee Falls, WI",3
"1823","Menomonie, WI",3
"1824","Mentor, OH",1
"1825","Merced, CA",3
"1826","Mercer Island, WA",2
"1827","Meriden, CT",2
"1828","Meriden, NH",1
"1829","Meridian, MS",3
"1830","Merillville, IN",1
"1831","Merrick, NY",5
"1832","Merrimac, MA",1
"1833","Merrimack, NH",1
"1834","Mesa, AZ",3
"1835","Meshoppen, PA",1
"1836","Mesquite, TX",1
"1837","Metairie, LA",1
"1838","Methuen, MA",2
"1839","Metropolis, IL",1
"1840","Metuchen, NJ",1
"1841","Mexico, MO",2
"1842","Miami Beach, FL",1
"1843","Miami Gardens, FL",1
"1844","Miami Lakes, FL",2
"1845","Miami Shores, FL",1
"1846","Miami, FL",31
"1847","Miami, OH",1
"1848","Miami, OK",1
"1849","Miamisburg, OH",2
"1850","Michigan City, IN",1
"1851","Middle River, MD",2
"1852","Middle Township, NJ",1
"1853","Middlebury, VT",3
"1854","Middleton, WI",1
"1855","Middletown, CT",2
"1856","Middletown, DE",1
"1857","Middletown, NY",1
"1858","Middletown, OH",5
"1859","Middletown, PA",1
"1860","Midland, MI",1
"1861","Midland, PA",2
"1862","Midland, TX",3
"1863","Midlothian, TX",2
"1864","Midpines, CA",1
"1865","Mifflinburg, PA",4
"1866","Mifflintown, PA",1
"1867","Milan, TN",1
"1868","Milford, CT",1
"1869","Milford, DE",1
"1870","Milford, MA",1
"1871","Milford, NH",1
"1872","Milford, PA",3
"1873","Mill Valley, CA",10
"1874","Millburn, NJ",1
"1875","Milledgeville, GA",1
"1876","Millersville, PA",1
"1877","Millerton, NY",3
"1878","Millsboro, DE",1
"1879","Millville, NJ",1
"1880","Milton-Freewater, OR",1
"1881","Milton, MA",3
"1882","Milton, PA",1
"1883","Milton, VT",1
"1884","Milwaukee, WI",35
"1885","Milwaukie, OR",1
"1886","Minden, LA",2
"1887","Minden, NV",2
"1888","Mineola, NY",4
"1889","Minerva, OH",2
"1890","Minneapolis, MI",1
"1891","Minneapolis, MN",45
"1892","Minot, ND",2
"1893","Miramar, FL",1
"1894","Mishawaka, IN",6
"1895","Mishawaka, NA",1
"1896","Mission Hills, CA",1
"1897","Missoula, MT",12
"1898","Mitchell, SD",1
"1899","Mlwaukee, WI",1
"1900","Moab, UT",2
"1901","Moberly, MO",1
"1902","Mobile, AL",4
"1903","Modesto, CA",7
"1904","Molalla, OR",2
"1905","Moline, IL",13
"1906","Monessen, PA",1
"1907","Monett, MO",1
"1908","Monmouth, IL",1
"1909","Monmouth, ME",1
"1910","Monmouth, OR",2
"1911","Monroe Township, NJ",1
"1912","Monroe, CT",1
"1913","Monroe, GA",1
"1914","Monroe, LA",2
"1915","Monroe, NC",1
"1916","Monroe, NY",2
"1917","Monroe, WA",1
"1918","Monroeville, PA",2
"1919","Monrovia, CA",2
"1920","Monson, MA",1
"1921","Mont Belvieu, TX",1
"1922","Montague, MA",1
"1923","Montague, MI",1
"1924","Montclair, NJ",4
"1925","Montebello, CA",1
"1926","Monterey, CA",3
"1927","Montevideo, MN",1
"1928","Montgomery Township, PA",1
"1929","Montgomery, AL",8
"1930","Montgomery, NY",2
"1931","Montgomery, PA",1
"1932","Montgomery, WI",1
"1933","Monticello, AR",1
"1934","Monticello, IL",1
"1935","Monticello, NY",3
"1936","Montoursville, PA",1
"1937","Montpelier, VT",8
"1938","Montrose, CO",4
"1939","Montross, VA",1
"1940","Montville, NJ",1
"1941","Mooresville, NC",1
"1942","Moorpark, CA",2
"1943","Moraga, CA",1
"1944","Morehead City, NC",1
"1945","Morehead, KY",1
"1946","Moreno Valley, CA",1
"1947","Morgan Hill, CA",3
"1948","Morganton, NC",1
"1949","Morgantown, PA",1
"1950","Morgantown, WV",6
"1951","Morris Plains, NJ",1
