"","City","ProtestCount"
"235","Benton, KY",2
"236","Bentonville, AR",4
"237","Berea, KY",5
"238","Berkeley Heights, NJ",1
"239","Berkeley Springs, WV",2
"240","Berkeley, CA",35
"241","Berlin, CT",1
"242","Berlin, NH",1
"243","Berlin, OH",1
"244","Bernardsville, NJ",2
"245","Berrien Springs, MI",1
"246","Berryville, VA",1
"247","Berthoud, CO",1
"248","Berwick, PA",1
"249","Berwyn, IL",1
"250","Bethel, AK",1
"251","Bethel, CT",2
"252","Bethel, ME",1
"253","Bethel, OH",4
"254","Bethel, VT",2
"255","Bethesda, MD",6
"256","Bethlehem, NY",2
"257","Bethlehem, PA",5
"258","Bethpage, NY",1
"259","Bettendorf, IA",1
"260","Beverly Hills, CA",9
"261","Beverly Hills, MI",1
"262","Beverly, MA",4
"263","Big Bear Lake, CA",4
"264","Big Lake, MN",1
"265","Big Rapids, MI",1
"266","Big Spring, TX",1
"267","Big Stone Gap, VA",1
"268","Billerica, MA",1
"269","Billings, MT",6
"270","Biloxi, MS",1
"271","Binghamton, NY",3
"272","Birdsboro, PA",1
"273","Birmingham, AL",9
"274","Birmingham, MI",4
"275","Bisbee, AZ",1
"276","Bishop, CA",1
"277","Bismarck, ND",1
"278","Blacksburg, VA",4
"279","Blaine, MN",2
"280","Bloomfield Hills, MI",1
"281","Bloomfield, CT",2
"282","Bloomfield, NJ",1
"283","Bloomingdale, GA",1
"284","Bloomington, IL",6
"285","Bloomington, IN",5
"286","Bloomington, MN",2
"287","Bloomsburg, PA",1
"288","Blue Ash, OH",1
"289","Blue Springs, MO",1
"290","Bluefield, WV",1
"291","Bluffton, SC",2
"292","Boca Raton, FL",11
"293","Boerne, TX",1
"294","Boise, ID",102
"295","Bolingbrook, IL",1
"296","Bolton, CT",1
"297","Bonita Springs, FL",1
"298","Bonney Lake, WA",1
"299","Boone, IA",2
"300","Boone, NC",4
"301","Boonton, NJ",1
"302","Boonville, MO",1
"303","Bossier City, LA",3
"304","Boston, MA",53
"305","Bothell, WA",2
"306","Boulder City, NV",1
"307","Boulder, CO",6
"308","Boulder, UT",1
"309","Bountiful, UT",1
"310","Bowling Green, KY",6
"311","Bowling Green, OH",3
"312","Bowling Green, VA",1
"313","Boyertown, PA",1
"314","Boynton Beach, FL",2
"315","Bozeman, MT",3
"316","Bradenton, FL",3
"317","Bradford, PA",1
"318","Bradley, IL",1
"319","Brainerd, MN",3
"320","Braintree, MA",1
"321","Brandon, MS",1
"322","Branford, CT",1
"323","Branson, MO",6
"324","Braselton, GA",1
"325","Brattleboro, VT",4
"326","Brea, CA",1
"327","Breckinridge, CO",1
"328","Brecksville, OH",1
"329","Bremerton, WA",2
"330","Brentwood, CA",3
"331","Brentwood, MO",1
"332","Brentwood, NY",1
"333","Brentwood, PA",1
"334","Brentwood, TN",1
"335","Brevard, NC",2
"336","Brewster, NY",2
"337","Brewton, AL",1
"338","Briarwood, NY",1
"339","Brick, NJ",1
"340","Bridgehampton, NY",1
"341","Bridgeport, CT",14
"342","Bridgeport, PA",3
"343","Bridgewater, CT",1
"344","Bridgewater, MA",4
"345","Bridgewater, NJ",1
"346","Brighton, MI",1
"347","Brighton, NY",1
"348","Bristol, CT",2
"349","Bristol, NH",1
"350","Bristol, PA",1
"351","Bristol, RI",1
"352","Bristol, TN",1
"353","Broadway, VA",2
"354","Brockton, MA",7
"355","Broken Arrow, OK",1
"356","Bronson, FL",1
"357","Brookfield, CT",1
"358","Brookfield, MO",1
"359","Brookfield, WI",1
"360","Brookings, OR",2
"361","Brookings, SD",1
"362","Brookline, MA",3
"363","Broomfield, CO",2
"364","Brown Deer, WI",1
"365","Brownsville, PA",1
"366","Brownsville, TX",1
"367","Brownwood, TX",1
"368","Brunswick, GA",8
"369","Brunswick, ME",3
"370","Bryan, OH",1
"371","Bryan, TX",3
"372","Bryn Mawr, PA",2
"373","Bryson City, NC",1
"374","Bucksport, ME",1
"375","Bucyrus, OH",1
"376","Buda, TX",1
"377","Buellton, CA",1
"378","Buena Park, CA",1
"379","Buffalo Grove, IL",1
"380","Buffalo, MN",1
"381","Buffalo, NY",25
"382","Bullhead City, AZ",1
"383","Burbank, CA",3
"384","Burien, WA",1
"385","Burke, VA",1
"386","Burlingame, CA",1
"387","Burlington, IA",1
"388","Burlington, NC",1
"389","Burlington, VT",21
"390","Burlington, WA",1
"391","Burlington, WI",1
"392","Burtonsville, MD",1
"393","Butler, AL",1
"394","Butler, PA",1
"395","Butte, MT",1
"396","Buzzards Bay, MA",1
"397","Byhalia, MS",1
"398","Byram, NJ",3
"399","Cabot, AR",1
