"","City","VictimsCount"
"230","City of Orange, NJ",1
"231","Clarkesville, TX",1
"232","Clarksdale, MS",2
"233","Clarksville, TN",2
"234","Claxton, GA",1
"235","Clayton, GA",1
"236","Clayton, MO",1
"237","Clearwater, FL",3
"238","Clemmons, NC",1
"239","Cleveland, MS",1
"240","Cleveland, OH",19
"241","Cleveland, TX",1
"242","Clifton, NJ",1
"243","Clinton, LA",1
"244","Clinton, MD",1
"245","Clinton, MO",1
"246","Clinton, NC",1
"247","Clinton, TN",2
"248","Clintonville, OH",2
"249","Coalinga, CA",1
"250","Cockeysville, MD",1
"251","Cocoa, FL",5
"252","Coconut Creek, FL",1
"253","Coffeeville, MS",1
"254","College Park, GA",5
"255","College Station, TX",2
"256","Collierville, TN",1
"257","Colorado Springs, CO",8
"258","Columbia, MO",5
"259","Columbia, SC",5
"260","Columbus, GA",7
"261","Columbus, MS",3
"262","Columbus, OH",40
"263","Commerce City, CO",1
"264","Compton, CA",5
"265","Concord Mills, NC",2
"266","Concord, NC",1
"267","Concord, VA",1
"268","Conover, NC",1
"269","Conroe, TX",2
"270","Converse, LA",1
"271","Conway, AR",2
"272","Coral Gables, FL",2
"273","Cordova, TN",1
"274","Corona, CA",1
"275","Corpus Christi, TX",5
"276","Coushatta, LA",1
"277","Covington, GA",3
"278","Covington, KY",2
"279","Covington, TN",2
"280","Cowley County, KS",1
"281","Crescent City, CA",1
"282","Crescent City, FL",1
"283","Crestview, FL",2
"284","Crestwood, KY",1
"285","Crofton, MD",1
"286","Crowley, LA",1
"287","Crown Point, IN",1
"288","Cuero, TX",1
"289","Culpeper, VA",5
"290","Cuthbert, GA",1
"291","Cypress, TX",2
"292","Dallas, NC",1
"293","Dallas, TX",23
"294","Daly City, CA",2
"295","Dalzell, SC",1
"296","Dania Beach, FL",1
"297","Danville, CA",1
"298","Danville, IL",1
"299","Danville, VA",2
"300","Daphne, AL",1
"301","Darlington, SC",1
"302","Davenport, IA",1
"303","Davisboro, GA",1
"304","Dayton, OH",11
"305","Daytona Beach, FL",2
"306","Dearborn Heights, MI",1
"307","Dearborn, MI",2
"308","Decatur, AL",1
"309","Decatur, GA",13
"310","Decatur, IL",1
"311","Deepstep, GA",1
"312","Deerfield, IL",1
"313","Defiance, OH",1
"314","DeKalb, TX",1
"315","DeLand, FL",1
