"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"271",347,610559,"Camp Pendleton North CDP, California",7367,299,34,516,2093,186,55,0,651,610559,0,0,0,0,0,0,0,0,0,0,0,757,0.361681796464405,0.0405863988054839,0.11371237458194,0,0,NA
"272",348,619584,"Dorris city, California",908,11,11,20,567,9,2,0,7,619584,0,0,0,0,0,0,0,0,0,0,0,31,0.054673721340388,0.0121145374449339,1,0,0,NA
"273",349,610074,"Cambria CDP, California",5647,33,33,1157,4837,479,238,105,275,610074,7,0,0,0,0,0,0,0,7,0,7,1979,0.409137895389704,0.00584381087302993,1,0,0,NA
"274",350,657414,"Pismo Beach city, California",8180,229,229,1820,6945,988,243,153,300,657414,1,0,0,0,0,0,0,0,1,0,1,3204,0.46133909287257,0.0279951100244499,1,0,0,NA
"275",351,680686,"Tulelake city, California",842,0,0,27,472,0,0,0,24,680686,0,0,0,0,0,0,0,0,0,0,0,27,0.0572033898305085,0,NA,0,0,NA
"276",353,671106,"Shafter city, California",19447,409,244,767,10681,197,23,73,940,671106,0,0,0,0,0,0,0,0,0,0,0,1060,0.0992416440408201,0.0210315215714506,0.596577017114914,0,0,NA
"277",354,411160,"Catalina CDP, Arizona",7910,87,74,941,5781,420,77,112,275,411160,0,0,0,0,0,0,0,0,0,0,0,1550,0.26811970247362,0.0109987357774968,0.850574712643678,0,0,NA
"278",357,478760,"Valencia West CDP, Arizona",11796,159,159,1015,7199,230,43,80,745,478760,0,0,0,0,0,0,0,0,0,0,0,1368,0.190026392554521,0.0134791454730417,1,0,0,NA
"279",358,425030,"Fortuna Foothills CDP, Arizona",29955,393,393,2315,24004,1029,203,92,1073,425030,0,0,0,0,0,0,0,0,0,0,0,3639,0.15159973337777,0.0131196795192789,1,0,0,NA
"280",360,402430,"Anthem CDP, Arizona",22468,372,372,4841,15198,1824,380,223,819,402430,1,0,0,0,0,0,0,0,1,0,1,7268,0.478220818528754,0.0165568808972761,1,0,0,NA
"281",361,403320,"Arivaca CDP, Arizona",723,0,0,86,651,65,39,0,0,403320,0,0,0,0,0,0,0,0,0,0,0,190,0.291858678955453,0,NA,0,0,NA
"282",362,403380,"Arivaca Junction CDP, Arizona",1248,0,0,92,842,8,0,0,104,403380,0,0,0,0,0,0,0,0,0,0,0,100,0.118764845605701,0,NA,0,0,NA
"283",363,404710,"Avenue B and C CDP, Arizona",3797,13,13,40,2330,66,23,0,97,404710,0,0,0,0,0,0,0,0,0,0,0,129,0.0553648068669528,0.00342375559652357,1,0,0,NA
"284",364,405490,"Beaver Dam CDP, Arizona",1349,0,0,105,1222,0,0,0,0,405490,0,0,0,0,0,0,0,0,0,0,0,105,0.085924713584288,0,NA,0,0,NA
"285",365,408710,"Bylas CDP, Arizona",1687,0,0,23,966,11,0,0,61,408710,0,0,0,0,0,0,0,0,0,0,0,34,0.0351966873706004,0,NA,0,0,NA
"286",366,408920,"Cactus Flats CDP, Arizona",1372,0,0,102,952,0,0,0,39,408920,0,0,0,0,0,0,0,0,0,0,0,102,0.107142857142857,0,NA,0,0,NA
"287",367,410460,"Casa Blanca CDP, Arizona",1004,0,0,31,578,0,0,0,36,410460,0,0,0,0,0,0,0,0,0,0,0,31,0.0536332179930796,0,NA,0,0,NA
"288",368,408990,"Cactus Forest CDP, Arizona",876,30,30,93,630,0,0,0,30,408990,0,0,0,0,0,0,0,0,0,0,0,93,0.147619047619048,0.0342465753424658,1,0,0,NA
"289",369,411370,"Cedar Creek CDP, Arizona",517,0,0,0,269,0,0,0,9,411370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
"290",370,411500,"Centennial Park CDP, Arizona",1366,0,0,47,485,22,0,0,12,411500,0,0,0,0,0,0,0,0,0,0,0,69,0.142268041237113,0,NA,0,0,NA
