"","City","ProtestCount","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","VictimsCountPreGF","VictimsCountPreGFBlack","VictimsCountPreGFHighThreat"
"389","burlington, iowa",1,"1909550",24974,2037,2026,2249,17293,752,166,96,527,3263,0.188689064939571,0.0815648274205173,0.994599901816397,2,1,1
"390","burlington, north carolina",1,"3709060",53063,14785,14590,6597,36614,1747,456,510,2215,9310,0.254274321297864,0.278631061191414,0.986810957051065,1,NA,NA
"391","burlington, vermont",21,"5010675",42545,2426,2329,7148,22554,3197,906,761,11871,12012,0.532588454376164,0.0570219767305206,0.960016488046167,1,NA,1
"392","burlington, washington",1,"5308920",8881,138,138,791,5727,245,20,45,315,1101,0.192247249869041,0.0155387906767256,1,NA,NA,NA
"393","burlington, wisconsin",1,"5511200",10847,33,33,1349,7506,469,89,22,486,1929,0.256994404476419,0.00304231584769982,1,NA,NA,NA
"394","burtonsville, maryland",1,"2411750",9823,4456,4456,1842,6270,987,222,182,746,3233,0.515629984051037,0.453629237503818,1,NA,NA,NA
"395","butler, alabama",1,"0111032",2419,782,735,197,1627,66,28,22,104,313,0.192378610940381,0.323274080198429,0.939897698209719,NA,NA,NA
"396","butler, pennsylvania",1,"4210464",13092,446,400,1298,9093,442,22,58,269,1820,0.200153964588145,0.0340666055606477,0.896860986547085,NA,NA,NA
"397","butte, montana",1,"3011397",33964,191,189,4395,23168,1432,288,235,2511,6350,0.274084944751381,0.0056236014603698,0.989528795811518,NA,NA,NA
"398","buzzards bay, massachusetts",1,"2510015",3528,20,1,577,2556,299,34,14,339,924,0.36150234741784,0.00566893424036281,0.05,NA,NA,NA
"399","byhalia, mississippi",1,"2810060",1660,899,880,102,979,6,0,0,11,108,0.110316649642492,0.541566265060241,0.978865406006674,1,NA,NA
"400","byram, new jersey",3,"3409170",39,39,39,0,27,0,0,0,0,0,0,1,1,NA,NA,NA
"401","cabot, arkansas",1,"0510300",26217,622,611,2948,16668,1218,142,57,1154,4365,0.261879049676026,0.0237250638898425,0.982315112540193,NA,NA,NA
"402","cadillac, michigan",1,"2612320",10419,187,179,866,7362,278,69,37,357,1250,0.169790817712578,0.0179479796525578,0.957219251336898,NA,NA,NA
"403","cadiz, kentucky",1,"2111692",2639,431,431,168,1977,107,6,6,41,287,0.145169448659585,0.163319439181508,1,NA,NA,NA
"404","cairo, georgia",1,"1312400",9446,4282,4235,438,6387,265,47,0,210,750,0.117426021606388,0.453313571882278,0.989023820644559,NA,NA,NA
"405","calabasas, california",3,"0609598",23988,384,384,5392,16654,2723,1275,875,1041,10265,0.616368440014411,0.016008004002001,1,1,NA,NA
"406","caldwell, new jersey",1,"3409250",7969,295,190,2206,5698,849,202,79,738,3336,0.585468585468585,0.0370184464801104,0.64406779661017,NA,NA,NA
"407","caledonia, new york",1,"3611704",2078,53,53,211,1455,93,10,17,144,331,0.227491408934708,0.0255052935514918,1,NA,NA,NA
"408","calexico, california",1,"0609710",39946,125,124,3276,24093,845,163,0,3264,4284,0.177810982443033,0.00312922445301157,0.992,NA,NA,NA
"409","calhoun, georgia",1,"1312456",16940,917,814,1145,10795,511,195,73,612,1924,0.178230662343678,0.0541322314049587,0.887677208287895,1,1,1
"410","california, pennsylvania",1,"4210768",6347,411,73,408,3070,363,21,29,2250,821,0.26742671009772,0.0647550023633213,0.177615571776156,NA,NA,NA
"411","callicoon, new york",2,"3611748",273,54,54,25,234,30,0,0,0,55,0.235042735042735,0.197802197802198,1,NA,NA,NA
"412","calumet, illinois",1,"1710487",36551,27199,27086,2835,23844,1079,235,112,1980,4261,0.178703237711793,0.744138327268748,0.995845435493952,NA,NA,NA
"413","camarillo, california",2,"0610046",68122,1318,1303,12477,47490,4974,1484,863,5201,19798,0.416887765845441,0.0193476409970347,0.988619119878604,NA,NA,NA
"414","camas, washington",1,"5309480",23200,184,184,4437,15191,2539,683,342,746,8001,0.52669343690343,0.00793103448275862,1,NA,NA,NA
"415","cambridge, maryland",2,"2412400",12375,5620,5479,1168,8363,411,64,51,489,1694,0.202558890350353,0.454141414141414,0.97491103202847,NA,NA,NA
"416","cambridge, massachusetts",16,"2511000",116632,12512,11547,22817,79240,22544,5841,11426,17265,62628,0.790358404846037,0.107277591055628,0.922874040920716,NA,NA,NA
"417","cambridge, new york",2,"3611825",1976,0,0,279,1403,183,14,33,16,509,0.362794012829651,0,NA,NA,NA,NA
"418","cambridge, ohio",1,"3910996",10360,362,344,624,6838,254,53,25,415,956,0.139806961099737,0.0349420849420849,0.950276243093923,NA,NA,NA
"419","camden, delaware",1,"1010760",3484,765,765,732,2527,194,11,0,146,937,0.370795409576573,0.219575200918485,1,NA,NA,NA
"420","camden, maine",2,"2309690",3468,51,51,947,2872,305,216,62,161,1530,0.532729805013928,0.0147058823529412,1,NA,NA,NA
"421","camden, new jersey",2,"3410000",74002,30608,29550,3039,43612,976,176,73,3976,4264,0.0977712556177199,0.413610442961001,0.965433873497125,1,NA,1
"422","camdenton, missouri",1,"2910810",4038,109,74,313,2717,133,0,0,83,446,0.164151637835848,0.0269935611688955,0.678899082568807,NA,NA,NA
"423","camp hill, pennsylvania",1,"4211000",7911,248,225,1608,5709,809,357,110,175,2884,0.505167279733754,0.031348754898243,0.907258064516129,NA,NA,NA
"424","canaan, new hampshire",1,"3308900",342,0,0,64,285,13,0,0,0,77,0.270175438596491,0,NA,1,NA,NA
"425","canajoharie, new york",1,"3612111",1905,0,0,150,1415,65,3,29,26,247,0.174558303886926,0,NA,NA,NA,NA
"426","canal winchester, ohio",1,"3911332",8611,405,390,1441,6239,814,152,51,338,2458,0.393973393171983,0.0470328649401928,0.962962962962963,NA,NA,NA
"427","canandaigua, new york",1,"3612144",10287,128,124,1618,7311,1052,104,127,493,2901,0.396799343455068,0.012442889083309,0.96875,1,1,1
"428","canfield, ohio",2,"3911360",7277,22,22,1565,5369,675,130,127,307,2497,0.46507729558577,0.00302322385598461,1,NA,NA,NA
"429","canon, colorado",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","canonsburg, pennsylvania",1,"4211152",8844,820,820,1067,6307,386,18,9,216,1480,0.234659901696528,0.0927182270465852,1,NA,NA,NA
"431","canova park, florida",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","canton, georgia",1,"1312988",28166,3194,3185,3826,18365,1101,248,142,1177,5317,0.289518105091206,0.113399133707307,0.99718221665623,NA,NA,NA
"433","canton, illinois",1,"1711007",13682,1177,85,1017,10141,526,94,23,658,1660,0.163691943595306,0.0860254348779418,0.0722175021240442,NA,NA,NA
"434","canton, michigan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","canton, missouri",1,"2911134",2463,150,71,181,1279,50,15,16,599,262,0.204847537138389,0.0609013398294763,0.473333333333333,NA,NA,NA
"436","canton, new york",1,"3612331",6505,431,4,575,2612,543,37,268,3298,1423,0.5447932618683,0.0662567255956956,0.00928074245939675,NA,NA,NA
"437","canton, north carolina",2,"3710240",4277,18,18,205,3082,190,6,22,197,423,0.13724853990915,0.00420855740004676,1,NA,NA,NA
"438","canton, ohio",2,"3912000",71243,17701,17256,4215,46977,1827,285,206,3375,6533,0.139068054579901,0.24845949777522,0.974860177391108,1,NA,1
"439","canyon, texas",1,"4812532",15305,390,202,2407,8152,870,62,204,3409,3543,0.434617271835132,0.0254818686703692,0.517948717948718,NA,NA,NA
"440","cape giradeau, missouri",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","cape girardeau, missouri",2,"2911242",39566,5070,4703,4840,24014,2277,588,691,6381,8396,0.349629382859998,0.128140322499115,0.927613412228797,1,NA,NA
"442","cape may court house, new jersey",1,"3410300",4617,272,238,859,3762,270,162,0,160,1291,0.343168527379054,0.0589127138834741,0.875,NA,NA,NA
"443","cape may, new jersey",2,"3410270",3463,103,55,740,2308,299,32,15,241,1086,0.47053726169844,0.0297429974010973,0.533980582524272,NA,NA,NA
"444","cape vincent, new york",1,"3612353",573,7,7,76,393,63,0,0,3,139,0.353689567430025,0.012216404886562,1,NA,NA,NA
"445","capitola, california",1,"0611040",10121,58,58,1502,7521,815,171,86,737,2574,0.34224172317511,0.00573065902578797,1,NA,NA,NA
"446","carbondale, illinois",4,"1711163",25597,6893,6021,2097,12271,2135,391,832,8713,5455,0.44454404693994,0.269289369848029,0.873494849847672,NA,NA,NA
"447","carbondale, pennsylvania",1,"4211232",8471,32,27,727,6174,299,24,43,155,1093,0.177032717849044,0.00377759414472908,0.84375,NA,NA,NA
"448","cardiff, california",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","carefree, arizona",1,"0410180",3811,35,35,1434,3620,382,168,30,2,2014,0.556353591160221,0.00918394122277617,1,NA,NA,NA
"450","caribou, maine",2,"2310565",7710,122,122,813,5798,231,75,18,146,1137,0.196102104173853,0.0158236057068742,1,NA,NA,NA
"451","carleton, michigan",1,"2613220",2432,12,12,121,1580,57,29,0,94,207,0.131012658227848,0.00493421052631579,1,NA,NA,NA
"452","carlisle, pennsylvania",6,"4211272",19153,1727,1512,2500,11912,1335,325,463,2613,4623,0.388096037609134,0.0901686419882003,0.875506658946149,NA,NA,NA
"453","carlsbad, california",1,"0611194",114253,1030,1017,27394,80508,13496,4209,2832,5516,47931,0.595356983156953,0.00901508056681225,0.987378640776699,NA,NA,NA
"454","carlsbad, new mexico",3,"3512150",29158,539,490,2019,18904,1099,84,167,715,3369,0.178216250528989,0.0184854928321558,0.909090909090909,3,NA,2
"455","carlstadt, new jersey",1,"3410480",6178,55,55,1168,4734,530,51,16,223,1765,0.37283481199831,0.0089025574619618,1,NA,NA,NA
"456","carmel, indiana",3,"1810342",97464,2665,2578,26310,65032,12334,4382,2898,2923,45924,0.706175421331037,0.0273434293687926,0.967354596622889,NA,NA,NA
"457","carmel, new york",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","caro, michigan",1,"2613420",4054,37,18,245,2913,89,13,18,113,365,0.125300377617576,0.0091267883571781,0.486486486486487,NA,NA,NA
"459","carol stream, illinois",1,"1711332",39726,2732,2708,7444,27231,2800,404,218,2007,10866,0.399030516690537,0.068771081911091,0.991215226939971,NA,NA,NA
"460","carrollton, georgia",2,"1313492",26570,8673,6788,2485,13931,945,377,468,5087,4275,0.306869571459335,0.326420775310501,0.782658826242361,2,NA,2
"461","carrollton, ohio",1,"3912280",3139,15,14,222,2207,121,26,15,76,384,0.173991844132306,0.00477859190825104,0.933333333333333,1,NA,NA
"462","carrollton, texas",1,"4813024",135834,13716,13526,25834,93219,8403,1462,832,6950,36531,0.391883628873942,0.100976191527894,0.986147564887722,2,NA,2
"463","carson, california",1,"0611530",92079,21922,21776,13520,64518,4002,328,385,7266,18235,0.282634303605195,0.238078172004474,0.993340023720463,2,NA,NA
"464","carson, nevada",4,"3209700",54773,1125,830,5629,39324,1957,686,447,2398,8719,0.221722103549995,0.0205393168166798,0.737777777777778,NA,NA,NA
"465","cartersville, georgia",1,"1313688",20870,3917,3631,2625,13910,611,321,65,598,3622,0.26038820992092,0.187685673215141,0.926984937452132,1,NA,NA
"466","carterville, illinois",1,"1711514",5868,287,287,986,3914,640,119,141,516,1886,0.481859989780276,0.0489093387866394,1,NA,NA,NA
"467","carthage, texas",1,"4813108",6535,1643,1548,704,4059,119,65,0,478,888,0.218773096821877,0.25141545524101,0.942178940961656,NA,NA,NA
"468","cary, north carolina",3,"3710740",166268,14169,14102,43229,115278,24877,4339,5726,5438,78171,0.678108572320824,0.0852178410758534,0.995271367068953,1,1,1
"469","casa grande, arizona",1,"0410530",55653,1922,1922,3745,36171,1542,319,295,2823,5901,0.163141743385585,0.0345354248647872,1,1,1,1
"470","casper, wyoming",6,"5613150",58446,840,811,6176,39096,2698,620,307,3423,9801,0.250690607734807,0.0143722410430141,0.96547619047619,3,NA,1
"471","castle rock, colorado",1,"0812415",62417,672,651,12953,39572,4843,705,584,2403,19085,0.48228545436167,0.0107662976432703,0.96875,NA,NA,NA
"472","castro valley, california",3,"0611964",63013,5155,4795,13186,45863,5306,1168,918,3131,20578,0.448684124457624,0.0818085157031089,0.930164888457808,1,NA,1
"473","catasauqua, pennsylvania",1,"4211720",6568,256,256,651,4377,410,51,17,441,1129,0.257939227781586,0.0389768574908648,1,NA,NA,NA
"474","catonsville, maryland",1,"2414125",41547,6388,5298,7717,28129,4500,960,1057,4759,14234,0.506025809662626,0.153753580282572,0.829367564182843,1,1,NA
"475","catskill, new york",2,"3613002",3846,866,854,424,2898,130,45,17,74,616,0.21256038647343,0.22516900676027,0.986143187066975,NA,NA,NA
"476","cazenovia, new york",1,"3613145",2846,215,37,372,1390,220,43,41,1087,676,0.486330935251799,0.0755446240337315,0.172093023255814,NA,NA,NA
"477","cedar hill, texas",1,"4813492",48560,25847,25609,5722,30228,2456,515,324,2802,9017,0.298299589784306,0.532269357495881,0.990791968120091,1,NA,NA
"478","cedar park, texas",2,"4813552",74814,2207,2207,16710,48692,6254,926,507,3012,24397,0.50104739998357,0.0294998262357313,1,NA,NA,NA
"479","cedar rapids, iowa",8,"1912000",132301,10324,9906,20304,88549,5867,1337,876,7702,28384,0.320545686569018,0.0780341796358304,0.959511817125145,NA,NA,NA
"480","cedar, utah",1,"4911320",32067,261,243,3881,16912,1171,392,461,4706,5905,0.349160359508042,0.00813920853213584,0.931034482758621,NA,NA,NA
"481","cedarburg, wisconsin",1,"5513375",11527,84,75,3040,8130,1201,305,155,415,4701,0.578228782287823,0.00728723865706602,0.892857142857143,NA,NA,NA
"482","cedarhurst, new york",1,"3613233",6642,105,105,979,3610,687,321,53,421,2040,0.565096952908587,0.0158084914182475,1,NA,NA,NA
"483","cedartown, georgia",1,"1314500",9999,2073,2029,521,6160,190,112,39,335,862,0.139935064935065,0.207320732073207,0.978774722624216,1,NA,NA
"484","celina, texas",1,"4813684",11116,995,984,2270,6843,564,209,0,246,3043,0.444688002338156,0.0895106153292551,0.98894472361809,NA,NA,NA
"485","center, texas",1,"4813732",5250,1938,1907,348,2537,28,115,0,152,491,0.193535672053607,0.369142857142857,0.984004127966976,1,NA,1
"486","centerville, ohio",1,"3913190",23796,1445,1415,5532,17885,2999,400,677,899,9608,0.53720995247414,0.0607244915111783,0.97923875432526,NA,NA,NA
"487","centralia, illinois",1,"1712164",12356,1199,1192,859,8337,330,104,38,414,1331,0.159649754108192,0.0970378763353836,0.994161801501251,NA,NA,NA
"488","centralia, washington",2,"5311160",17216,100,100,1112,11816,558,87,28,646,1785,0.1510663507109,0.0058085501858736,1,1,NA,NA
"489","centreville, massachusetts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","cerritos, california",1,"0612552",50143,4334,4296,12866,37018,4671,1401,652,3684,19590,0.529202009833054,0.0864328021857488,0.991232118135671,1,NA,1
"491","chadron, nebraska",2,"3108605",5591,380,303,576,2950,317,89,284,1292,1266,0.429152542372881,0.0679663745304954,0.797368421052632,NA,NA,NA
"492","chagrin falls, ohio",2,"3913358",4032,12,0,1139,2893,517,190,68,38,1914,0.661596958174905,0.00297619047619048,0,NA,NA,NA
"493","chambersburg, pennsylvania",6,"4212536",20832,2388,2305,2021,13962,921,269,73,967,3284,0.235209855321587,0.11463133640553,0.965242881072027,NA,NA,NA
"494","champaign, illinois",9,"1712385",87636,16278,15720,10180,47406,8029,1982,3282,20587,23473,0.495148293464962,0.185745584006573,0.965720604496867,NA,NA,NA
"495","chandler, arizona",2,"0412000",252692,14187,14106,47262,169285,22252,3152,3027,12334,75693,0.447133532208997,0.05614344735884,0.9942905476845,3,NA,3
"496","chapel hill, north carolina",7,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,24169,0.769247907317228,0.108856028066494,0.822740963855422,NA,NA,NA
"497","charles, iowa",1,"1912765",7396,239,239,827,5021,152,13,28,199,1020,0.203146783509261,0.032314764737696,1,NA,NA,NA
"498","charles, west virginia",1,"5414610",5943,666,666,830,3983,430,78,65,188,1403,0.35224704996234,0.112064613831398,1,NA,NA,NA
"499","charleston, illinois",1,"1712567",20464,1655,982,2154,10914,1127,130,376,5543,3787,0.346985523181235,0.0808737294761532,0.593353474320242,NA,NA,NA
"500","charleston, south carolina",19,"4513330",135257,29329,28557,32417,95954,12077,4281,2137,12817,50912,0.530587573212164,0.216839054540615,0.973677929694159,NA,NA,NA
"501","charleston, west virginia",7,"5414600",48006,7548,7257,7074,34825,3847,1947,807,1837,13675,0.392677674084709,0.157230346206724,0.961446740858506,6,1,5
"502","charlevoix, michigan",2,"2614780",2338,56,53,382,1740,93,82,0,117,557,0.320114942528736,0.0239520958083832,0.946428571428571,NA,NA,NA
"503","charlotte, north carolina",25,"3712000",857425,302023,296930,165685,573270,66981,14861,6528,46259,254055,0.443168140666702,0.352244219611045,0.983137045854124,11,5,6
"504","charlottesville, virginia",10,"5114968",47096,8844,8516,8041,30356,4879,1803,1956,8193,16679,0.549446567400184,0.187786648547647,0.962912709181366,1,1,1
"505","chase, virginia",1,"5114984",2568,1378,1362,160,1626,46,0,4,37,210,0.129151291512915,0.536604361370717,0.988388969521045,NA,NA,NA
"506","chaska, minnesota",1,"2710972",26371,895,871,5343,16882,1887,277,279,1036,7786,0.461201279469257,0.033938796405142,0.9731843575419,NA,NA,NA
"507","chatham, massachusetts",1,"2512960",1428,0,0,608,1297,223,22,0,26,853,0.657671549730147,0,NA,NA,NA,NA
"508","chatsworth, california",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","chattanooga, tennessee",14,"4714000",179690,56348,54667,24383,125802,9467,2639,1269,11895,37758,0.300138312586445,0.313584506650342,0.970167530347129,4,NA,3
"510","cheboygan, michigan",2,"2615000",4719,135,50,373,3418,90,37,0,131,500,0.146284376828555,0.0286077558804832,0.37037037037037,NA,NA,NA
"511","chehalis, washington",3,"5311475",7497,160,83,624,5064,235,104,9,220,972,0.191943127962085,0.0213418700813659,0.51875,NA,NA,NA
"512","chelsea, michigan",2,"2615020",5331,50,10,1255,3815,522,114,143,134,2034,0.533158584534731,0.009379103357719,0.2,NA,NA,NA
"513","chenoa, illinois",1,"1712931",1997,37,37,215,1349,56,15,0,66,286,0.212008895478132,0.0185277916875313,1,NA,NA,NA
"514","cherry hill, new jersey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","cherry valley, new york",2,"3615242",486,2,2,102,350,26,4,2,10,134,0.382857142857143,0.00411522633744856,1,NA,NA,NA
"516","chesapeake, virginia",3,"5116000",239982,72084,68870,33407,161042,15353,2964,1674,13725,53398,0.331578097639125,0.300372527939595,0.95541312912713,1,1,1
"517","cheshire, connecticut",2,"0914200",6082,23,22,1259,4330,928,106,102,330,2395,0.553117782909931,0.00378165077277211,0.956521739130435,NA,NA,NA
"518","chester, south carolina",1,"4514095",5408,3449,3357,295,3691,60,31,30,59,416,0.112706583581685,0.637758875739645,0.973325601623659,2,1,1
"519","chester, vermont",1,"5013600",864,0,0,203,745,69,0,0,0,272,0.36510067114094,0,NA,NA,NA,NA
"520","chesterfield, michigan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","chesterfield, missouri",2,"2913600",47605,1821,1739,12134,34415,7842,2093,1745,1354,23814,0.691965712625309,0.0382522844239051,0.954969796814937,1,1,1
"522","chesterfield, virginia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","chestertown, maryland",2,"2416225",5088,864,646,525,3187,535,148,171,1236,1379,0.432695324756825,0.169811320754717,0.747685185185185,NA,NA,NA
"524","chevy chase, maryland",3,"2416787",1937,18,18,376,1324,352,385,116,44,1229,0.928247734138973,0.00929272070211667,1,NA,NA,NA
"525","chevy chase, maryland",3,"2416620",2973,37,37,568,1996,546,535,211,89,1860,0.93186372745491,0.0124453414059872,1,NA,NA,NA
"526","chevy chase, maryland",3,"2416625",9622,564,495,2141,6703,1751,1112,768,251,5772,0.861106967029688,0.0586156724173768,0.877659574468085,NA,NA,NA
"527","cheyenne, wyoming",3,"5613900",63607,1262,1231,8277,43982,3671,869,544,2655,13361,0.303783365922423,0.0198405835835678,0.975435816164818,1,NA,1
"528","chicago, illinois",113,"1714000",2709534,802460,784065,435959,1875020,211185,62358,30738,147374,740240,0.394790455568474,0.296161627792823,0.97707673902749,26,20,14
"529","chico, california",4,"0613014",94529,1978,1900,13362,54955,4564,1628,991,17672,20545,0.373851332908744,0.0209247955653821,0.96056622851365,2,1,1
"530","chicopee, massachusetts",1,"2513660",55421,2856,2805,5102,38925,2036,338,320,3178,7796,0.200282594733462,0.0515328124718067,0.982142857142857,NA,NA,NA
"531","chillicothe, ohio",3,"3914184",21719,1385,1317,1837,15310,768,259,146,630,3010,0.196603527106466,0.06376905014043,0.950902527075812,NA,NA,NA
"532","chilmark, massachusetts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","chincoteague, virginia",1,"5116512",2899,12,0,280,2413,273,53,62,87,668,0.276833816825528,0.00413935839944809,0,NA,NA,NA
"534","chino hills, california",1,"0613214",80701,3006,2959,16972,54696,5805,1689,1051,6270,25517,0.466524060260348,0.0372486090630847,0.984364604125083,1,NA,1
"535","chino, california",2,"0613210",89631,4928,2247,10305,63853,3392,752,236,5990,14685,0.229981363444161,0.0549809775635662,0.455965909090909,1,NA,NA
"536","chisholm, minnesota",1,"2711386",4914,33,33,425,3388,57,0,44,179,526,0.155253837072019,0.00671550671550672,1,NA,NA,NA
"537","chllicothe, ohio",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","chowchilla, california",1,"0613294",18413,1519,145,822,12968,263,16,6,1419,1107,0.0853639728562616,0.0824960625644925,0.0954575378538512,1,NA,1
"539","christianburg, virginia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","chula vista, california",3,"0613392",268920,12623,12376,35682,175262,12171,2229,1431,21419,51513,0.293919959831566,0.0469396102930239,0.98043254376931,3,1,1
"541","cincinnati, ohio",16,"3915000",301394,127343,124835,41688,194523,20216,6098,4168,25373,72170,0.371010111914786,0.422513387791396,0.98030516007947,3,1,2
"542","citrus heights, california",1,"0613588",87373,3428,3394,9089,61816,2512,537,457,4674,12595,0.203749838229585,0.0392340883339247,0.990081680280047,1,NA,1
"543","clairton, pennsylvania",1,"4213704",6619,2501,2435,470,4739,140,36,44,208,690,0.145600337623971,0.377851639220426,0.973610555777689,NA,NA,NA
"544","claremont, california",2,"0613756",36090,1922,1670,5945,23622,4410,1283,1589,5757,13227,0.55994411988824,0.0532557495151011,0.86888657648283,NA,NA,NA
"545","claremont, new hampshire",1,"3312900",12977,261,261,1396,9375,438,34,51,236,1919,0.204693333333333,0.0201125067426986,1,NA,NA,NA
"546","claremore, oklahoma",2,"4014700",18753,326,223,1729,12307,667,151,53,1118,2600,0.211261883480946,0.0173838852450275,0.684049079754601,1,NA,1
"547","clarendon, virginia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","clarion, pennsylvania",1,"4213800",5580,313,265,504,2784,367,89,108,1479,1068,0.383620689655172,0.0560931899641577,0.846645367412141,NA,NA,NA
"549","clarksburg, maryland",2,"2417350",24767,4669,4669,5364,15098,3730,656,733,871,10483,0.694330374884091,0.18851697823717,1,NA,NA,NA
"550","clarksburg, west virginia",2,"5415628",15553,480,480,1311,10835,804,75,9,347,2199,0.202953391785879,0.0308622130778628,1,1,NA,1
"551","clarksdale, mississippi",1,"2813820",15734,12876,12692,1034,9592,512,120,47,820,1713,0.178586321934946,0.818355154442608,0.985709847778813,1,1,1
"552","clarkston, michigan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","clarksville, indiana",2,"1812934",21548,1018,986,2081,15188,598,99,108,770,2886,0.190018435607058,0.0472433636532393,0.968565815324165,1,NA,1
"554","clarksville, tennessee",6,"4715160",152934,37135,35851,17350,92809,6433,702,1107,12140,25592,0.275749119158702,0.242817162959185,0.965423454961627,3,1,1
"555","claxton, georgia",1,"1316600",2665,1089,1082,140,1599,87,18,0,120,245,0.153220762976861,0.408630393996248,0.993572084481175,1,1,1
"556","clayton, california",2,"0613882",12083,279,279,3150,8307,1117,339,195,761,4801,0.577946310340677,0.0230902921459902,1,NA,NA,NA
"557","clayton, georgia",1,"1316656",1968,14,0,203,1460,86,24,16,123,329,0.225342465753425,0.00711382113821138,0,1,NA,NA
"558","clayton, missouri",4,"2914572",16588,1161,76,3110,9527,2149,1209,930,3643,7398,0.776529862496064,0.0699903544731131,0.0654608096468562,1,1,NA
"559","clayton, oklahoma",1,"4014900",634,0,0,19,442,13,0,0,14,32,0.0723981900452489,0,NA,NA,NA,NA
"560","clearfield, pennsylvania",1,"4214064",5921,6,6,544,4267,219,22,26,192,811,0.190063276306539,0.00101334234082081,1,NA,NA,NA
"561","clearlake, california",1,"0613945",15349,678,678,529,10182,129,83,0,655,741,0.072775486152033,0.0441722587790736,1,NA,NA,NA
"562","clearwater, florida",4,"1212875",115159,12500,12291,17495,86669,6308,1633,906,4753,26342,0.303937970900783,0.1085455761165,0.98328,4,2,1
"563","cleburne, texas",3,"4815364",30289,1321,1241,2343,19495,706,167,84,924,3300,0.169274172864837,0.0436131929083165,0.939439818319455,NA,NA,NA
"564","clemson, south carolina",1,"4514950",16463,1265,1256,1805,7793,1535,297,1017,5446,4654,0.597202617733864,0.0768389722407824,0.992885375494071,NA,NA,NA
"565","clermont, florida",1,"1212925",35209,3465,3428,5761,25978,2057,771,276,1616,8865,0.341250288705828,0.0984123377545514,0.989321789321789,1,NA,NA
"566","cleveland heights, ohio",1,"3916014",44571,18292,18100,7563,29960,5304,1969,1611,3090,16447,0.548965287049399,0.410401382064571,0.989503608134704,NA,NA,NA
"567","cleveland, mississippi",1,"2814260",11627,5904,5408,1458,7260,593,199,170,1769,2420,0.333333333333333,0.507783607121356,0.915989159891599,NA,NA,NA
"568","cleveland, ohio",17,"3916000",385282,188116,184284,28412,260178,11620,3681,1821,20619,45534,0.175010954039158,0.488255355817297,0.979629590252823,8,5,6
"569","cleveland, tennessee",1,"4715400",44595,3604,3396,4438,28680,1778,452,494,4814,7162,0.249721059972106,0.0808162350039242,0.942286348501665,1,NA,1
"570","clifton heights, pennsylvania",1,"4214264",6696,1557,1557,635,4629,112,0,15,756,762,0.164614387556708,0.23252688172043,1,NA,NA,NA
"571","clifton park, new york",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","clifton, new jersey",1,"3413690",85204,4553,4397,13185,59751,4288,1547,489,5541,19509,0.326504995732289,0.0534364583822356,0.965736876784538,NA,NA,NA
"573","clinton, connecticut",1,"0915420",3388,5,5,591,2619,230,68,21,77,910,0.34746086292478,0.00147579693034238,1,NA,NA,NA
"574","clinton, iowa",1,"1914430",25416,1296,1280,2212,17758,648,151,93,752,3104,0.174794458835454,0.0509915014164306,0.987654320987654,1,NA,NA
"575","clinton, maryland",2,"2417900",39018,32095,31440,4757,27623,2735,163,341,2281,7996,0.289468920826847,0.822569070685325,0.979591836734694,1,1,1
