"","City","ProtestCount","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","VictimsCountPreGF","VictimsCountPreGFBlack","VictimsCountPreGFHighThreat"
"314","boyertown, pennsylvania",1,"4207960",4064,257,257,358,2999,194,18,13,11,583,0.194398132710904,0.063238188976378,1,NA,NA,NA
"315","boynton beach, florida",2,"1207875",76832,23298,23215,11739,57671,3479,922,844,3886,16984,0.294498101298746,0.30323302790504,0.996437462443128,2,NA,2
"316","bozeman, montana",3,"3008950",46746,343,318,9432,26402,4167,705,1198,9881,15502,0.587152488447845,0.00733752620545073,0.927113702623907,1,NA,NA
"317","bradenton, florida",3,"1207950",56551,10409,10187,6669,41306,2376,444,415,1622,9904,0.239771461773108,0.184063942282188,0.978672302814872,4,2,3
"318","bradford, pennsylvania",1,"4208040",8355,64,31,708,5601,275,30,34,187,1047,0.186930905195501,0.00766008378216637,0.484375,NA,NA,NA
"319","bradley, illinois",1,"1707744",15368,1000,956,1136,10018,510,67,36,628,1749,0.174585745657816,0.0650702758979698,0.956,NA,NA,NA
"320","brainerd, minnesota",3,"2707300",13373,366,335,891,8883,324,82,67,511,1364,0.153551728019813,0.0273685784790249,0.915300546448087,NA,NA,NA
"321","braintree, massachusetts",1,"2507740",37220,1103,1069,7084,26343,3397,639,326,1633,11446,0.434498728314922,0.0296346050510478,0.969174977334542,1,1,1
"322","brandon, mississippi",1,"2808300",23930,4580,4321,4120,16331,1954,194,362,1122,6630,0.405976363970363,0.191391558712913,0.943449781659389,NA,NA,NA
"323","branford, connecticut",1,"0907345",6163,68,68,1121,4856,610,141,47,170,1919,0.395181219110379,0.0110335875385364,1,NA,NA,NA
