"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"442",2416,2014600,"Coffeyville city, Kansas",9457,840,802,844,6009,156,47,0,701,2014600,1,1,0,0,0,0,0,0,0,0,1,1047,0.174238642036945,0.0888230940044412,0.954761904761905,0,0,NA
"443",2418,2500135,"Abington CDP, Massachusetts",16436,331,325,3185,11793,1155,253,22,641,2500135,3,2,0,0,0,0,0,0,1,0,3,4615,0.391333842109726,0.0201387198831833,0.981873111782477,0,0,NA
"444",2420,2539485,"Mattapoisett Center CDP, Massachusetts",3354,0,0,724,2482,292,110,116,182,2539485,2,2,0,0,0,0,0,0,0,0,2,1242,0.500402900886382,0,NA,0,0,NA
"445",2423,2511000,"Cambridge city, Massachusetts",116632,12512,11547,22817,79240,22544,5841,11426,17265,2511000,92,19,0,0,0,0,0,0,38,0,92,62628,0.790358404846037,0.107277591055628,0.922874040920716,0,0,NA
"446",2424,2553680,"Pinehurst CDP, Massachusetts",7283,185,185,1096,5229,521,56,53,292,2553680,4,1,0,0,0,0,0,0,2,0,4,1726,0.330082233696692,0.0254016202114513,1,0,0,NA
"447",2425,2507140,"Bourne CDP, Massachusetts",1408,0,0,363,1145,147,0,97,18,2507140,4,1,0,0,0,0,0,0,1,0,4,607,0.530131004366812,0,NA,0,0,NA
"448",2428,1956505,"Newton city, Iowa",15164,491,481,1103,10454,345,123,34,442,1956505,5,2,0,0,0,0,0,0,2,0,5,1605,0.153529749378228,0.0323793194407808,0.979633401221996,0,0,NA
"449",2429,1984900,"What Cheer city, Iowa",756,24,24,25,449,8,0,0,15,1984900,1,1,0,0,0,0,0,0,0,0,1,33,0.0734966592427617,0.0317460317460317,1,0,0,NA
"450",2432,1921000,"Des Moines city, Iowa",215636,24502,24019,26307,141517,7837,2373,1258,10582,1921000,159,45,2,1,2,1,0,2,80,0,159,37775,0.266929061526177,0.113626667161327,0.980287323483797,9.27488916507448e-06,4.63744458253724e-06,0.5
"451",2446,1912000,"Cedar Rapids city, Iowa",132301,10324,9906,20304,88549,5867,1337,876,7702,1912000,51,11,0,0,0,0,0,0,31,0,51,28384,0.320545686569018,0.0780341796358304,0.959511817125145,0,0,NA
"452",2461,2240840,"Lafitte CDP, Louisiana",816,0,0,31,587,0,16,0,27,2240840,1,1,0,0,0,0,0,0,0,0,1,47,0.0800681431005111,0,NA,0,0,NA
"453",2468,1812934,"Clarksville town, Indiana",21548,1018,986,2081,15188,598,99,108,770,1812934,2,2,1,0,1,0,0,1,0,0,2,2886,0.190018435607058,0.0472433636532393,0.968565815324165,4.6408019305736e-05,0,0
"454",2469,1845144,"Lowell town, Indiana",9659,21,12,801,6161,429,28,0,314,1845144,3,1,0,0,0,0,0,0,2,0,3,1258,0.204187631877942,0.00217413810953515,0.571428571428571,0,0,NA
"455",2476,1852326,"New Albany city, Indiana",36647,3332,3191,3443,25408,1612,364,171,1905,1852326,5,1,1,0,1,0,0,1,3,0,5,5590,0.220009445843829,0.09092149425601,0.957683073229292,2.72873632220919e-05,0,0
"456",2478,1850976,"Mooresville town, Indiana",9661,0,0,649,6598,288,57,26,546,1850976,2,1,0,0,0,0,0,0,1,0,2,1020,0.154592300697181,0,NA,0,0,NA
"457",2482,1878326,"Valparaiso city, Indiana",33355,1102,862,5616,22101,2251,703,430,3439,1878326,19,3,0,0,0,0,0,0,12,0,19,9000,0.407221392697163,0.0330385249587768,0.782214156079855,0,0,NA
"458",2484,1846908,"Marion city, Indiana",27956,4121,3929,1330,17417,997,100,179,3689,1846908,5,3,0,0,0,0,0,0,1,0,5,2606,0.149623930642476,0.147410216053799,0.953409366658578,0,0,NA
"459",2488,1801666,"Angola city, Indiana",8660,98,18,825,5018,452,29,51,1395,1801666,5,1,0,0,0,0,0,0,3,0,5,1357,0.270426464726983,0.0113163972286374,0.183673469387755,0,0,NA
"460",2492,1869318,"Shelbyville city, Indiana",18951,411,333,1294,12951,640,109,43,481,1869318,1,1,1,0,1,0,0,1,0,0,1,2086,0.161068643348004,0.021687509893937,0.81021897810219,5.27676639755158e-05,0,0
"461",2495,1349100,"McRae-Helena city, Georgia",8409,4311,2868,171,6158,105,57,52,122,1349100,1,1,0,0,0,0,0,0,0,0,1,385,0.0625202987983111,0.512665001783803,0.665274878218511,0,0,NA
"462",2510,1301052,"Albany city, Georgia",73478,54630,51695,5185,46112,2608,1002,449,7097,1301052,5,2,0,0,0,0,0,0,2,0,5,9244,0.200468424705066,0.743487846702414,0.946274940508878,0,0,NA
"463",2515,1321380,"Dalton city, Georgia",33571,2240,2028,2799,20768,952,312,116,1895,1321380,9,4,1,0,1,0,0,0,2,0,9,4179,0.201223035439137,0.0667242560543326,0.905357142857143,2.97876143099699e-05,0,0
