"","City","VictimsCount"
"236","Beeville, TX",3
"237","Bel Air, MD",2
"238","Belcourt, ND",1
"239","Belding, MI",1
"240","Belen, NM",1
"241","Belfast, ME",2
"242","Belgrade, ME",1
"243","Bell Gardens, CA",1
"244","Bell, FL",1
"245","Belle Glade, FL",1
"246","Belle Plaine, MN",1
"247","Bellefontaine Neighbors, MO",1
"248","Belleville, IL",3
"249","Belleville, MI",1
"250","Belleville, NJ",1
"251","Bellevue, NE",3
"252","Bellevue, WA",2
"253","Bellflower, CA",2
"254","Bellingham, WA",1
"255","Bellville, TX",1
"256","Beloit, WI",4
"257","Belton, MO",1
"258","Belton, TX",1
"259","Benbrook, TX",1
"260","Bend, OR",1
"261","Benjamin, TX",1
"262","Bennington Township, MI",1
"263","Bensalem, PA",1
"264","Benson, NC",1
"265","Bent, NM",1
"266","Benton Harbor, MI",3
"267","Benton, AR",3
"268","Benton, IL",1
"269","Benton, KY",1
"270","Bentonville, AR",1
"271","Berea, KY",1
"272","Bergen, NJ",1
"273","Berkeley, CA",2
"274","Berkeley, MO",1
"275","Berlin, NJ",1
"276","Bernalillo, NM",1
"277","Berne, NY",1
"278","Berwyn, IL",1
"279","Bessemer City, NC",1
"280","Bethany, OK",1
"281","Bethel Township, OH",1
"282","Bethlehem, GA",1
"283","Bettendorf, IA",2
"284","Bever Dam, AZ",1
"285","Beverly Hills, FL",1
"286","Beverly, MA",1
"287","Beverly, OH",1
"288","Big Lake, AK",1
"289","Big Spring, TX",1
"290","Big Springs, NE",1
"291","Big Sur, CA",1
"292","Bigfork, MT",1
"293","Biggs Junction, OR",1
"294","Billings, MT",16
"295","Biloxi, MS",4
"296","Binghamton, NY",1
"297","Birch River, WV",1
"298","Birmingham, AL",17
"299","Bishopville, SC",1
"300","Bismarck, MO",1
"301","Bismarck, ND",3
"302","Bivins, TX",1
"303","Bixby, OK",2
"304","Black Canyon City, AZ",1
"305","Blackfoot, ID",4
"306","Blacksburg, SC",1
"307","Blacksburg, VA",1
"308","Blackwell, OK",1
"309","Bladensburg, MD",1
"310","Blair, NE",1
"311","Blairsville, GA",1
"312","Blanchard, MI",1
"313","Bleecker, AL",1
"314","Blendon Township, OH",1
"315","Bloomfield Hills, MI",1
"316","Bloomingdale, GA",1
"317","Bloomingdale, NJ",1
"318","Bloomington, CA",1
"319","Bloomington, IL",1
"320","Bloomington, IN",1
"321","Bloomsburg, PA",1
"322","Blossom, TX",1
"323","Blountsville, AL",2
"324","Blountville, TN",1
"325","Blue Hill, ME",1
"326","Blue Island, IL",1
"327","Blue Ridge, VA",1
"328","Blue Springs, MO",3
"329","Bluefield, WV",1
"330","Bluff City, TN",3
"331","Bluffdale, UT",2
"332","Bluffton, SC",1
"333","Blytheville, AR",1
"334","Boardman, OH",1
"335","Boaz, AL",1
"336","Boca Raton, FL",2
"337","Boerne, TX",6
"338","Bogalusa, LA",1
"339","Boiling Springs, SC",2
"340","Boise, ID",18
"341","Bolingbrook, IL",2
"342","Bolivar, TN",1
"343","Bolt, WV",1
"344","Bolton, CT",1
"345","Bonaire, GA",1
"346","Bonham, TX",1
"347","Bonifay, FL",1
"348","Bonita Springs, FL",1
"349","Bonne Terre, MO",2
"350","Bonnieville, KY",1
"351","Bonnyman, KY",1
"352","Boone, IA",1
"353","Boone, NC",1
"354","Boons Camp, KY",1
"355","Boonville, IN",1
"356","Borger, TX",1
"357","Boring, OR",1
"358","Boron, CA",1
"359","Bossier City, LA",4
"360","Boston, MA",10
"361","Boston, VA",1
"362","Boulder City, NV",2
"363","Boulder Creek, CA",1
"364","Boulder, CO",6
"365","Bountiful, UT",1
"366","Bowling Green, KY",1
"367","Boyceville, WI",1
"368","Boyne Falls, MI",1
"369","Boynton Beach, FL",3
"370","Bozeman, MT",2
"371","Brackettville, TX",1
"372","Braddock Hills, PA",1
"373","Bradenton, FL",8
"374","Braeburn, TX",1
"375","Braham, MN",1
"376","Braintree, MA",2
"377","Brandon, CO",1
"378","Brandon, FL",2
"379","Brandon, MS",1
"380","Brandywine, WV",1
"381","Branson, MO",1
"382","Brattleboro, VT",1
"383","Braxton, MS",2
"384","Brazoria, TX",1
"385","Brea, CA",1
"386","Bremen , GA",1
"387","Bremerton, WA",2
"388","Brentwood, CA",1
"389","Brentwood, NY",1
"390","Brentwood, PA",1
"391","Brewer, ME",1
"392","Brick, NJ",2
"393","Bridgeport Township, MI",1
"394","Bridgeport, CT",3
"395","Bridgeport, TX",1
"396","Bridgeville, DE",1
"397","Bridgewater, VA",1
"398","Brighton, CO",1
"399","Brighton, MI",2
"400","Brinnon, WA",1
"401","Brinson, GA",1
"402","Bristol, CT",1
"403","Bristol, TN",5
"404","Bristol, VA",2
"405","Broad Creek, NC",1
"406","Brockton, MA",1
"407","Brodhead, KY",1
"408","Broken Arrow, OK",3
"409","Broken Bow, OK",2
"410","Bronx, NY",17
"411","Brookfield Township, OH",1
"412","Brookhaven, GA",1
"413","Brookhaven, MS",2
"414","Brooklet, GA",1
"415","Brooklyn Center, MN",1
"416","Brooklyn, NY",24
"417","Brookshire, TX",2
"418","Brooksville, FL",4
"419","Brookville, OH",1
"420","Broomfield, CO",4
"421","Brown City, MI",1
"422","Browning, MT",2
"423","Brownsville, TX",4
"424","Brunswick, GA",2
"425","Brunswick, OH",1
"426","Brush Prairie, WA",1
"427","Brush Valley, PA",1
"428","Bryant, AR",1
"429","Bryceville, FL",1
"430","Buchanan, VA",1
"431","Buckeye, AZ",10
"432","Buckhannon, WV",1
"433","Buckley, WA",2
"434","Buda, TX",1
"435","Buena Park, CA",1
"436","Buffalo Grove, IL",2
"437","Buffalo, MO",1
"438","Buffalo, NY",3
"439","Buffalo, OK",1
"440","Buffalo, WV",1
"441","Buford, GA",4
"442","Buhl, ID",1
"443","Bull Shoals, AR",1
"444","Bullhead City, AZ",1
"445","Bunch, OK",1
"446","Burbank, CA",3
"447","Burien, WA",3
"448","Burkesville, KY",3
"449","Burlington, IA",1
"450","Burlington, MA",1
"451","Burlington, VT",3
"452","Burnet, TX",1
"453","Burns Flat, OK",1
"454","Burns, TN",1
"455","Burnside, MS",1
"456","Burnsville, MN",1
"457","Burton, MI",1
"458","Burtonsville, MD",1
"459","Butler Township, OH",1
"460","Butler, OK",1
"461","Butler, PA",3
"462","Butte, MT",1
"463","Byars, OK",1
"464","Bybee, TN",1
"465","Byesville, OH",1
"466","Byfield, MA",1
"467","Byng, OK",1
"468","Bynum, TX",1
"469","Byram Township, NJ",1
"470","Byron, CA",1
"471","Byron, GA",2
"472","Cabazon, CA",1
"473","Cabin Creek, WV",1
"474","Cabot, AR",1
"475","Cache, OK",2
"476","Cadillac, MI",1
"477","Cahokia, IL",1
"478","Calabasas, CA",1
"479","Calais, ME",1
"480","Calcutta, OH",1
"481","Caldwell, ID",2
"482","Caldwell, TX",1
"483","Caledonia, MI",1
"484","Caledonia, WI",1
"485","Calexico, CA",1
"486","Calhoun, GA",4
"487","Caliente, NV",1
"488","Calimesa, CA",2
"489","Callahan, FL",2
"490","Calumet City, IL",2
"491","Camarillo, CA",2
"492","Cambridge, MA",1
"493","Camden, NJ",3
"494","Cameron, MO",1
"495","Cameron, NY",1
"496","Cameron, TX",1
"497","Cameron, WI",1
"498","Camp Wood, TX",1
"499","Campbell, CA",1
"500","Campbellsville, KY",2
"501","Campo, CA",1
"502","Campobello, SC",1
"503","Canaan Township, PA",1
"504","Canandaigua, NY",2
"505","Canoga Park, CA",1
"506","Canon City, CO",1
"507","Canton, GA",5
"508","Canton, MS",2
"509","Canton, NC",1
"510","Canton, OH",4
"511","Cantonment, FL",2
"512","Canute, OK",1
"513","Canutillo, TX",1
"514","Canyon Village, WY",1
"515","Cape Canaveral, FL",1
"516","Cape Coral, FL",4
"517","Capitan, NM",1
"518","Capitol Heights, MD",1
"519","Carbondale, IL",1
"520","Carencro, LA",1
"521","Carlsbad, NM",5
"522","Carmel, CA",1
"523","Carmel, IN",2
"524","Carmichael, CA",4
"525","Carnesville, GA",1
"526","Carol Stream, IL",1
"527","Carriere, MS",1
"528","Carrizozo, NM",1
"529","Carrollton, GA",2
"530","Carrollton, TX",2
"531","Carrollton, VA",1
"532","Carson City, CO",1
"533","Carson City, NV",5
"534","Carson, CA",2
"535","Cartersville, GA",2
"536","Carterville, IL",1
"537","Carthage, IL",1
"538","Carthage, MO",1
"539","Carthage, TN",1
"540","Caruthers, CA",1
"541","Cary, NC",1
"542","Casa Grande, AZ",4
"543","Casas Adobes, AZ",1
"544","Cascade, MT",1
"545","Cascadia, OR",1
"546","Casper, WY",9
"547","Casselberry, FL",1
"548","Cassville, MO",1
"549","Castaic, CA",1
"550","Castle Pines, CO",1
"551","Castle Rock, CO",1
"552","Castro Valley, CA",3
"553","Catalina, AZ",1
"554","Cathedral City, CA",2
"555","Catonsville, MD",1
"556","Cave City, KY",1
"557","Cave Creek, AZ",1
"558","Cave Junction, OR",1
"559","Cayce, SC",1
"560","Cedar City, UT",1
"561","Cedar Hill, MO",2
"562","Cedar Rapids, IA",5
"563","Cedartown, GA",1
"564","Celina, OH",4
"565","Centennial, CO",5
"566","Center, TX",2
"567","Centerview, MO",1
"568","Centerville, GA",1
"569","Centerville, IA",1
"570","Centerville, UT",1
"571","Central City, KY",1
"572","Central Pennington, SD",2
"573","Central Point, OR",1
"574","Centralia, IL",1
"575","Centralia, WA",2
"576","Century, FL",1
"577","Ceredo, WV",1
"578","Ceres, CA",2
"579","Cerritos, CA",3
"580","Chadron, NE",1
"581","Chalmette, LA",1
"582","Chambersburg, PA",1
"583","Chamblee, GA",4
"584","Champaign, IL",1
"585","Chandler, AZ",12
"586","Channelview, TX",2
"587","Chanute, KS",1
"588","Chaparral, NM",2
"589","Chapmanville, WV",1
"590","Charleston View, CA",1
"591","Charleston, SC",6
"592","Charleston, WV",7
"593","Charlotte, NC",29
"594","Charlottesville, VA",3
"595","Chase City, VA",1
"596","Chatsworth, CA",1
"597","Chattanooga, TN",13
"598","Chavies, KY",1
"599","Checotah, OK",1
"600","Cheektowaga, NY",1
"601","Chefornak, AK",1
"602","Chehalis, WA",1
"603","Chelsea, AL",1
"604","Chelsea, MA",1
"605","Chelsea, ME",1
"606","Chelsea, OK",1
"607","Cherokee, AL",1
"608","Cherryville, NC",1
"609","Chesaning, MI",1
"610","Chesapeake, VA",4
"611","Chester Township, OH",1
"612","Chester, ME",1
"613","Chester, PA",6
"614","Chester, SC",1
"615","Chester, VA",1
"616","Chesterfield, MO",1
"617","Chesterfield, SC",1
"618","Chesterfield, VA",1
"619","Chestnut Hill, MA",1
"620","Chetopa, KS",1
"621","Cheyenne, WY",5
"622","Chicago Heights, IL",1
"623","Chicago, IL",67
"624","Chickamauga, GA",1
"625","Chickasha, OK",2
"626","Chico, CA",4
"627","Chiefland, FL",1
"628","Childress, TX",2
"629","Chillicothe, IL",1
"630","Chillicothe, MO",1
"631","Chillicothe, OH",1
"632","Chillicothe, TX",1
"633","Chiloquin, OR",1
"634","Chino Hills, CA",3
"635","Chino Valley, AZ",1
"636","Chino, CA",4
"637","Chipley, FL",1
"638","Chippewa Falls, WI",1
"639","Chisholm, MN",1
"640","Chocowinity, NC",1
"641","Chowchilla, CA",1
"642","Christianburg, VA",1
"643","Christiansburg, VA",4
"644","Chubbuck, ID",1
"645","Chula Vista, CA",7
"646","Chunchula, AL",1
"647","Cincinnati, OH",11
"648","Cinco Ranch, TX",2
"649","Circleville, OH",1
"650","Citra, FL",1
"651","Citronelle, AL",1
"652","Citrus Heights, CA",6
"653","City of Orange, NJ",1
"654","Clanton, AL",1
"655","Claremont, CA",1
"656","Claremont, NH",2
"657","Claremore, OK",2
"658","Clarendon, NY",1
"659","Clarendon, TX",2
"660","Clarkesville, GA",2
"661","Clarkesville, TX",1
"662","Clarklake, MI",1
"663","Clarkrange, TN",1
"664","Clarksburg, WV",1
"665","Clarksdale, MS",2
"666","Clarksville, AR",1
"667","Clarksville, IN",2
"668","Clarksville, TN",5
"669","Clarkton, MO",1
"670","Claude, TX",1
"671","Clawson, MI",1
"672","Claxton, GA",1
"673","Clay, AL",1
"674","Claymont, DE",2
"675","Clayton, GA",1
"676","Clayton, NC",2
"677","Clayton, OK",1
"678","Cle Elum, WA",1
"679","Clear Lakes Shores, TX",1
"680","Clearcreek, OH",1
"681","Clearfield, PA",1
"682","Clearfield, UT",1
"683","Clearlake Oaks, CA",1
"684","Clearlake, CA",1
"685","Clearwater, FL",5
"686","Clemmons, NC",2
"687","Clendenin, WV",1
"688","Clermont, FL",3
"689","Cleveland Heights, OH",1
"690","Cleveland, OH",19
"691","Cleveland, TN",5
"692","Cleveland, TX",1
"693","Clifton Forge, VA",1
"694","Clifton Park, NY",1
"695","Clifton, NJ",1
"696","Clifton, TX",1
"697","Clines Corners, NM",1
"698","Clinton, AR",1
"699","Clinton, LA",1
"700","Clinton, MD",1
"701","Clinton, MO",1
"702","Clinton, MS",2
"703","Clinton, MT",1
"704","Clinton, NC",2
"705","Clinton, TN",3
"706","Clinton, UT",2
"707","Clio, MI",1
"708","Clovis, CA",2
"709","Clute, TX",1
"710","Clyde, NC",1
"711","Coachella, CA",1
"712","Coal City, WV",4
"713","Coalinga, CA",1
"714","Cochran, GA",1
