"","City","VictimsCount"
"238","Bandera, TX",1
"239","Bandon, OR",1
"240","Bangor Charter Township, MI",1
"241","Bangor, ME",1
"242","Bangor, PA",1
"243","Banning, CA",4
"244","Barberton, OH",2
"245","Barberville, FL",1
"246","Barbourville, KY",2
"247","Bardstown, KY",1
"248","Bardwell, KY",1
"249","Barnesville, GA",1
"250","Barre, VT",1
"251","Barrow, AK",1
"252","Barstow, CA",9
"253","Bartlesville, OK",4
"254","Bartlett, TN",1
"255","Bartow, FL",1
"256","Bascom, FL",1
"257","Basin, WY",2
"258","Bass River, NJ",1
"259","Bassett, VA",1
"260","Bastrop, LA",3
"261","Bastrop, TX",2
"262","Batavia Township, IL",1
"263","Batesville, AR",1
"264","Batesville, IN",1
"265","Bath, MI",1
"266","Bath, NH",1
"267","Baton Rouge, LA",22
"268","Battle Creek, MI",6
"269","Battle Ground, WA",1
"270","Baxter Springs, KS",1
"271","Baxter, KY",1
"272","Bay City, MI",1
"273","Bay City, TX",1
"274","Bay Minette, AL",2
"275","Bay Shore, NY",2
"276","Bay St. Louis, MS",2
"277","Bayard, NE",1
"278","Bayonet Point, FL",1
"279","Bayonne, NJ",1
"280","Baytown, TX",6
"281","Beach Park, IL",1
"282","Beacon, NY",1
"283","Bear Valley Springs, CA",1
"284","Bear, DE",1
"285","Beatrice, NE",1
"286","Beatty, OR",1
"287","Beaufort, NC",1
"288","Beaumont, CA",5
"289","Beaumont, MS",1
"290","Beaumont, TX",11
"291","Beaver Creek, MI",1
"292","Beaver Dam, WI",1
"293","Beaver Township, MI",1
"294","Beaver, WA",1
"295","Beavercreek, OH",1
"296","Beaverton, MI",1
"297","Beaverton, OR",5
"298","Beckley, WV",4
"299","Beckville, TX",1
"300","Bedford, IN",1
"301","Bedford, OH",1
"302","Bedford, PA",1
"303","Bedford, TX",2
"304","Bedford, VA",2
"305","Beech Grove, IN",2
"306","Beech Island, SC",1
"307","Beeville, TX",3
"308","Bel Air, MD",3
"309","Bel Aire, KS",1
"310","Belcourt, ND",3
"311","Belding, MI",1
"312","Belen, NM",1
"313","Belfast, ME",2
"314","Belgrade, ME",1
"315","Bell Gardens, CA",2
"316","Bell, CA",1
"317","Bell, FL",1
"318","Bellaire, TX",1
"319","Belle Glade, FL",1
"320","Belle Isle, FL",1
"321","Belle Plaine, MN",1
"322","Bellefontaine Neighbors, MO",1
"323","Bellefontaine, OH",1
"324","Belleville, IL",3
"325","Belleville, MI",1
"326","Belleville, NJ",1
"327","Bellevue, NE",3
"328","Bellevue, WA",2
"329","Bellflower, CA",4
"330","Bellingham, WA",1
"331","Bellville, TX",1
"332","Belmont, NH",1
"333","Beloit, WI",5
"334","Belton, MO",2
"335","Belton, TX",1
"336","Bemidji, MN",1
"337","Benbrook, TX",1
"338","Bend, OR",5
"339","Benjamin, TX",1
"340","Bennington Township, MI",1
"341","Bensalem, PA",1
"342","Benson, NC",1
"343","Bent, NM",1
"344","Benton City, WA",1
"345","Benton Harbor, MI",4
"346","Benton, AR",5
"347","Benton, IL",1
"348","Benton, KY",1
"349","Bentonville, AR",3
"350","Berea, KY",1
"351","Bergen, NJ",1
"352","Berkeley, CA",2
"353","Berkeley, MO",1
"354","Berlin, NJ",1
"355","Berlin, NY",1
"356","Bernalillo, NM",3
"357","Berne, NY",1
"358","Bernice, LA",1
"359","Bertsch–Oceanview, CA",1
"360","Berwick , LA",1
"361","Berwyn, IL",1
"362","Bessemer City, NC",2
"363","Bessemer, AL",1
"364","Bethany, OK",1
"365","Bethel Springs, TN",1
"366","Bethel Township, OH",1
"367","Bethlehem, GA",1
"368","Bettendorf, IA",2
"369","Bever Dam, AZ",1
"370","Beverly Hills, FL",1
"371","Beverly, MA",1
"372","Beverly, OH",2
"373","Big Bear, CA",1
"374","Big Lake, AK",1
"375","Big Spring, TX",2
"376","Big Springs, NE",1
"377","Big Stone Gap, VA",1
"378","Big Sur, CA",2
"379","Bigfork, MT",1
"380","Biggs Junction, OR",1
"381","Billings, MT",20
"382","Biloxi, MS",10
"383","Binghamton, NY",1
"384","Birch River, WV",1
"385","Birchwood, TN",1
"386","Birmingham, AL",24
"387","Bisbee, AZ",1
"388","Bishopville, SC",1
"389","Bismarck, MO",2
"390","Bismarck, ND",4
"391","Bivins, TX",1
"392","Bixby, OK",2
"393","Black Canyon City, AZ",1
"394","Black River Falls, WI",1
"395","Blackfoot, ID",4
"396","Blacksburg, SC",1
"397","Blacksburg, VA",1
"398","Blackwell, OK",1
"399","Bladensburg, MD",1
"400","Blair, NE",1
"401","Blairsville, GA",1
"402","Blanchard, MI",1
"403","Bleecker, AL",2
"404","Blendon Township, OH",1
"405","Bloomburg, TX",1
"406","Bloomfield Hills, MI",1
"407","Bloomfield, CA",1
"408","Bloomfield, NJ",1
"409","Bloomfield, NM",2
"410","Bloomingdale, GA",1
"411","Bloomingdale, NJ",1
"412","Bloomington, CA",2
"413","Bloomington, IL",1
"414","Bloomington, IN",1
"415","Bloomington, MN",1
"416","Bloomsburg, PA",1
"417","Blossom, TX",1
"418","Blountsville, AL",2
"419","Blountville, TN",1
"420","Blue Hill, ME",1
"421","Blue Island, IL",1
"422","Blue Mountain, MS",1
"423","Blue Ridge, VA",1
"424","Blue Springs, MO",4
"425","Bluefield, WV",2
"426","Bluff City, TN",3
"427","Bluffdale, UT",2
"428","Bluffton, SC",2
"429","Blytheville, AR",2
"430","Boardman, OH",1
"431","Boaz, AL",2
"432","Boca Raton, FL",4
"433","Boerne, TX",6
"434","Bogalusa, LA",2
"435","Boiling Spring Lakes, NC",1
"436","Boiling Springs, SC",2
"437","Bois D'Arc, MO",1
"438","Boise, ID",20
"439","Bolingbrook, IL",2
"440","Bolivar, TN",1
"441","Bolt, WV",1
"442","Bolton, CT",1
"443","Bolton, VT",1
"444","Bon Aqua, TN",1
"445","Bonaire, GA",1
"446","Bonham, TX",2
"447","Bonifay, FL",1
"448","Bonita Springs, FL",1
"449","Bonne Terre, MO",2
"450","Bonnieville, KY",1
"451","Bonnyman, KY",1
"452","Boone, IA",2
"453","Boone, NC",1
"454","Booneville, KY",1
"455","Boons Camp, KY",1
"456","Boonville, IN",1
"457","Borger, TX",1
"458","Boring, OR",1
"459","Boron, CA",2
"460","Bossier City, LA",7
"461","Boston, MA",12
"462","Boston, VA",1
"463","Bothell, WA",1
"464","Boulder City, NV",4
"465","Boulder Creek, CA",1
"466","Boulder, CO",8
"467","Bountiful, UT",1
"468","Bourbon, MO",1
"469","Bowling Green, KY",2
"470","Bowlus, MN",1
"471","Box Elder, SD",1
"472","Boyceville, WI",1
"473","Boyne Falls, MI",1
"474","Boynton Beach, FL",4
"475","Bozeman, MT",3
"476","Brackettville, TX",1
"477","Braddock Hills, PA",1
"478","Bradenton, FL",12
"479","Braeburn, TX",1
"480","Braham, MN",1
"481","Braintree, MA",3
"482","Brandon, CO",1
"483","Brandon, FL",3
"484","Brandon, MS",3
"485","Brandywine, WV",1
"486","Branford, CT",1
"487","Branson, MO",1
"488","Brattleboro, VT",2
"489","Brawley, CA",2
"490","Braxton, MS",2
"491","Brazoria, TX",1
"492","Brea, CA",2
"493","Breaux Bridge, LA",1
"494","Bremen , GA",1
"495","Bremen , IN",1
"496","Bremerton, WA",3
"497","Brentwood, CA",1
"498","Brentwood, NY",1
"499","Brentwood, PA",1
"500","Brewer, ME",1
"501","Brewton, AL",1
"502","Brick, NJ",3
"503","Bridgeport Township, MI",1
"504","Bridgeport, CT",3
"505","Bridgeport, TX",1
"506","Bridgeton, NJ",2
"507","Bridgeville, DE",1
"508","Bridgewater, VA",1
"509","Brighton, CO",1
"510","Brighton, IL",1
"511","Brighton, MI",2
"512","Brinnon, WA",1
"513","Brinson, GA",1
"514","Bristol, CT",1
"515","Bristol, TN",7
"516","Bristol, VA",4
"517","Broad Creek, NC",1
"518","Brockton, MA",3
"519","Brodhead, KY",1
"520","Broken Arrow, OK",3
"521","Broken Bow, OK",2
"522","Bronx, NY",24
"523","Brookfield Township, OH",1
"524","Brookhaven, GA",1
"525","Brookhaven, MS",2
"526","Brookings, OR",1
"527","Brooklet, GA",1
"528","Brooklyn Center, MN",4
"529","Brooklyn, NY",30
"530","Brookport, IL",1
"531","Brookshire, TX",2
"532","Brooksville, FL",6
"533","Brookville, IN",1
"534","Brookville, OH",1
"535","Broomfield, CO",4
"536","Broussard, LA",1
"537","Brown City, MI",1
"538","Browning, MT",3
"539","Brownstown, IN",1
"540","Brownsville, TN",1
"541","Brownsville, TX",8
"542","Brunswick, GA",2
"543","Brunswick, OH",1
"544","Brush Prairie, WA",1
"545","Brush Valley, PA",1
"546","Bryant, AR",3
"547","Bryceville, FL",1
"548","Buchanan, VA",1
"549","Buckeye, AZ",10
"550","Buckhannon, WV",1
"551","Buckley, WA",2
"552","Buckner, IL",1
"553","Buda, TX",1
"554","Buena Park, CA",2
"555","Buena Vista, NJ",1
"556","Buffalo Grove, IL",2
"557","Buffalo, MO",1
"558","Buffalo, NY",7
"559","Buffalo, OK",1
"560","Buffalo, WV",1
"561","Buford, GA",4
"562","Buhl, ID",1
"563","Bull Shoals, AR",1
"564","Bullhead City, AZ",1
"565","Bunch, OK",1
"566","Bunker Hill, WV",1
"567","Bunnell, FL",1
"568","Burbank, CA",5
"569","Burien, WA",4
"570","Burkesville, KY",3
"571","Burlington, IA",3
"572","Burlington, MA",1
"573","Burlington, NC",2
"574","Burlington, VT",4
"575","Burnet, TX",1
"576","Burns Flat, OK",1
"577","Burns, TN",1
"578","Burnside, MS",1
"579","Burnsville, MN",3
"580","Burnsville, NC",1
"581","Burton, MI",1
"582","Burtonsville, MD",1
"583","Butler Township, OH",1
"584","Butler, GA",1
"585","Butler, OK",1
"586","Butler, PA",3
"587","Butte, MT",1
"588","Byars, OK",1
"589","Bybee, TN",1
"590","Byesville, OH",1
"591","Byfield, MA",1
"592","Byhalia, MS",1
"593","Byng, OK",1
"594","Bynum, TX",1
"595","Byram Township, NJ",1
"596","Byron, CA",1
"597","Byron, GA",2
"598","Cabazon, CA",3
"599","Cabin Creek, WV",1
"600","Cabot, AR",2
"601","Cache, OK",2
"602","Cadillac, MI",1
"603","Cadiz, KY",1
"604","Cahokia, IL",1
"605","Cairo, GA",1
"606","Calabasas, CA",2
"607","Calais, ME",1
"608","Calcutta, OH",2
"609","Caldwell, ID",4
"610","Caldwell, TX",1
"611","Caledonia, MI",1
"612","Caledonia, WI",1
"613","Calexico, CA",3
"614","Calhoun, GA",6
"615","Caliente, NV",1
"616","Calimesa, CA",2
"617","Callahan, FL",2
"618","Calumet City, IL",3
"619","Calverton, MD",1
"620","Calypso, NC",1
"621","Camarillo, CA",2
"622","Cambridge, MA",1
"623","Camden, NJ",3
"624","Camden, SC",1
"625","Cameron, MO",1
"626","Cameron, NY",1
"627","Cameron, TX",1
"628","Cameron, WI",1
"629","Camp Wood, TX",1
"630","Campbell, CA",1
"631","Campbellsville, KY",2
"632","Campo, CA",2
"633","Campobello, SC",1
"634","Canaan Township, PA",1
"635","Canaan, NH",1
"636","Canandaigua, NY",2
"637","Caneyville, KY",1
"638","Canoga Park, CA",1
"639","Canon City, CO",2
"640","Canterbury, CT",1
"641","Canton, GA",5
"642","Canton, MA",1
"643","Canton, MS",4
"644","Canton, NC",1
"645","Canton, OH",6
"646","Cantonment, FL",3
"647","Canute, OK",1
"648","Canutillo, TX",2
"649","Canyon Village, WY",1
"650","Cape Canaveral, FL",1
"651","Cape Coral, FL",6
"652","Cape Girardeau, MO",1
"653","Capitan, NM",1
"654","Capitol Heights, MD",1
"655","Carbondale, IL",1
"656","Carbondale, PA",1
"657","Carencro, LA",2
"658","Carlisle, PA",1
"659","Carlsbad, NM",8
"660","Carmel, CA",1
"661","Carmel, IN",2
"662","Carmichael, CA",6
"663","Carnesville, GA",1
"664","Carol Stream, IL",1
"665","Carollwood, FL",1
"666","Carriere, MS",1
"667","Carrizozo, NM",1
"668","Carrollton, GA",3
"669","Carrollton, OH",2
"670","Carrollton, TX",3
"671","Carrollton, VA",1
"672","Carson City, CO",1
"673","Carson City, NV",6
"674","Carson, CA",5
"675","Cartersville, GA",3
"676","Carterville, IL",1
"677","Carthage, IL",1
"678","Carthage, MO",1
"679","Carthage, TN",2
"680","Cartwright, OK",1
"681","Caruthers, CA",1
"682","Cary, NC",1
"683","Caryville, TN",1
"684","Casa Grande, AZ",6
"685","Casas Adobes, AZ",1
"686","Cascade, ID",1
"687","Cascade, MT",1
"688","Cascadia, OR",1
"689","Casper, WY",11
"690","Casselberry, FL",1
"691","Cassville, MO",1
"692","Castaic, CA",3
"693","Castle Pines, CO",1
"694","Castle Rock, CO",1
"695","Castro Valley, CA",4
"696","Catalina, AZ",1
"697","Catasauqua, PA",1
"698","Cathedral City, CA",3
"699","Catonsville, MD",2
"700","Catskill, NY",1
"701","Cave City, KY",1
"702","Cave Creek, AZ",1
"703","Cave Junction, OR",1
"704","Cave Spring, VA",1
"705","Cayce, SC",1
"706","Cedar City, UT",1
"707","Cedar Hill, MO",2
"708","Cedar Hill, TX",1
"709","Cedar Rapids, IA",6
"710","Cedartown, GA",3
"711","Celina, OH",4
"712","Celina, TX",1
"713","Centennial, CO",6
"714","Center Township, PA",2
"715","Center, TX",2
"716","Centerview, MO",1
"717","Centerville, GA",1
"718","Centerville, IA",1
"719","Centerville, TX",1
"720","Centerville, UT",1
"721","Central City, KY",1
"722","Central Pennington, SD",2
"723","Central Point, OR",1
"724","Centralia, IL",1
"725","Centralia, WA",4
"726","Century, FL",1
"727","Ceredo, WV",1
"728","Ceres, CA",3
"729","Cerritos, CA",3
"730","Chadron, NE",1
"731","Chalmette, LA",1
"732","Chambersburg, PA",1
"733","Chamblee, GA",6
"734","Champaign, IL",1
"735","Champion, MI",1
"736","Chandler, AZ",13
"737","Channelview, TX",3
"738","Chanute, KS",1
"739","Chaparral, NM",2
"740","Chapin, SC",1
"741","Chapmanville, WV",1
"742","Charleston View, CA",1
"743","Charleston, SC",10
"744","Charleston, TN",2
"745","Charleston, WV",8
"746","Charlotte, NC",39
"747","Charlottesville, VA",3
"748","Chase City, VA",1
"749","Chatsworth, CA",1
"750","Chattanooga, TN",18
"751","Chavies, KY",1
"752","Checotah, OK",1
"753","Cheektowaga, NY",1
"754","Chefornak, AK",1
"755","Chehalis, WA",1
"756","Chelsea, AL",1
"757","Chelsea, IA",1
"758","Chelsea, MA",2
"759","Chelsea, ME",1
"760","Chelsea, OK",1
"761","Cheney, WA",1
"762","Cherokee, AL",1
"763","Cherokee, NC",1
"764","Cherryville, NC",1
"765","Chesaning, MI",1
"766","Chesapeake, VA",4
"767","Chester Township, OH",1
"768","Chester, ME",1
"769","Chester, PA",6
"770","Chester, SC",2
"771","Chester, VA",1
"772","Chesterfield, MO",1
"773","Chesterfield, SC",2
"774","Chesterfield, VA",1
"775","Chestertown, MD",1
"776","Chestnut Hill, MA",1
"777","Chetopa, KS",1
"778","Cheyenne, WY",5
"779","Chicago Heights, IL",1
"780","Chicago, IL",106
"781","Chickamauga, GA",1
"782","Chickasha, OK",4
"783","Chico, CA",5
"784","Chiefland, FL",1
"785","Childress, TX",2
"786","Chillicothe, IL",1
"787","Chillicothe, MO",1
"788","Chillicothe, OH",2
"789","Chillicothe, TX",1
"790","Chiloquin, OR",1
"791","Chinle, AZ",1
"792","Chino Hills, CA",3
"793","Chino Valley, AZ",1
"794","Chino, CA",5
"795","Chipley, FL",2
"796","Chippewa Falls, WI",1
"797","Chisholm, MN",1
"798","Chocowinity, NC",1
"799","Choctaw, MS",1
"800","Choctaw, OK",1
"801","Chowchilla, CA",1
"802","Christianburg, VA",1
"803","Christiansburg, VA",5
"804","Chubbuck, ID",1
"805","Chuckey, TN",1
"806","Chula Vista, CA",11
"807","Chunchula, AL",1
"808","Church Hill, TN",2
"809","Cincinnati, OH",16
"810","Cinco Ranch, TX",2
"811","Circleville, OH",1
"812","Cisco, TX",1
"813","Citra, FL",1
"814","Citronelle, AL",2
"815","Citrus Heights, CA",10
"816","City of Orange, NJ",1
"817","Clanton, AL",2
"818","Claremont, CA",1
"819","Claremont, NH",2
"820","Claremore, OK",3
"821","Clarendon, NY",1
"822","Clarendon, PA",1
"823","Clarendon, TX",2
"824","Clark Lake, MI",1
"825","Clarkdale, AZ",1
"826","Clarkesville, GA",2
"827","Clarkesville, TX",1
"828","Clarklake, MI",1
"829","Clarkrange, TN",1
"830","Clarksburg, WV",1
"831","Clarksdale, MS",2
"832","Clarksville, AR",1
"833","Clarksville, IN",2
"834","Clarksville, TN",7
"835","Clarkton, MO",1
"836","Claude, TX",1
"837","Clawson, MI",1
"838","Claxton, GA",1
"839","Clay City, KY",1
"840","Clay, AL",1
"841","Clay, NY",1
"842","Claymont, DE",2
"843","Clayton, GA",2
"844","Clayton, MO",1
"845","Clayton, NC",2
"846","Clayton, OK",1
"847","Cle Elum, WA",1
"848","Clear Lakes Shores, TX",1
"849","Clearcreek, OH",1
"850","Clearfield, PA",1
