"","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate"
"245","0625114","Fort Irwin CDP, California",9872,1807,1619,882,3815,255,37,46,1022,"0625114",NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,0.319790301441678,0.183042949756888,0.895960154952961
"246","0625300","Fort Washington CDP, California",540,0,0,95,256,36,52,60,0,"0625300",NA,NA,NA,NA,NA,NA,NA,NA,NA,243,0.94921875,0,NA
"247","0625488","Franklin CDP (Merced County), California",6929,65,65,224,4264,104,15,22,452,"0625488",NA,NA,NA,NA,NA,NA,NA,NA,NA,365,0.0856003752345216,0.00938086303939963,1
"248","0626067","French Valley CDP, California",36126,3461,3278,4704,22104,1479,386,165,1967,"0626067",NA,NA,NA,NA,NA,NA,NA,NA,NA,6734,0.304650741947159,0.0958035763715883,0.947125108350188
"249","0627130","Fruitridge Pocket CDP, California",6116,1216,1210,327,4130,37,15,0,215,"0627130",NA,NA,NA,NA,NA,NA,NA,NA,NA,379,0.0917675544794189,0.198822759973839,0.995065789473684
"250","0627190","Fuller Acres CDP, California",885,0,0,11,417,0,0,0,63,"0627190",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.026378896882494,0,NA
"251","0628014","Fulton CDP, California",655,0,0,56,438,59,0,0,48,"0628014",NA,NA,NA,NA,NA,NA,NA,NA,NA,115,0.262557077625571,0,NA
"252","0628154","Garberville CDP, California",913,0,0,118,612,0,0,0,23,"0628154",1,2,NA,NA,NA,NA,NA,NA,1,118,0.19281045751634,0,NA
"253","0629112","Garnet CDP, California",5285,326,326,193,3454,124,1,58,133,"0629112",NA,NA,NA,NA,NA,NA,NA,NA,NA,376,0.108859293572669,0.0616840113528855,1
"254","0629154","Gasquet CDP, California",685,0,0,20,490,24,7,0,38,"0629154",1,NA,NA,NA,NA,NA,NA,NA,1,51,0.104081632653061,0,NA
"255","0678666","Tiburon town, California",9144,92,92,2991,6937,1488,540,265,154,"0678666",2,2,NA,NA,NA,NA,NA,NA,NA,5284,0.761712555859882,0.0100612423447069,1
