"","City","ProtestSize"
"223","Belmont, MA",300
"224","Beloit, WI",108
"225","Belton, TX",NA
"226","Bemidji, MN",NA
"227","Ben Avon, PA",55
"228","Bend, OR",266.5
"229","Benicia, CA",NA
"230","Bennington, VT",NA
"231","Bensalem, PA",200
"232","Benton Harbor, MI",NA
"233","Benton, AR",200
"234","Benton, IL",60
"235","Benton, KY",NA
"236","Bentonville, AR",NA
"237","Berea, KY",117.6
"238","Berkeley Heights, NJ",2000
"239","Berkeley Springs, WV",325
"240","Berkeley, CA",NA
"241","Berlin, CT",NA
"242","Berlin, NH",200
"243","Berlin, OH",100
"244","Bernardsville, NJ",NA
"245","Berrien Springs, MI",600
"246","Berryville, VA",300
"247","Berthoud, CO",NA
"248","Berwick, PA",100
"249","Berwyn, IL",NA
"250","Bethel, AK",100
"251","Bethel, CT",NA
"252","Bethel, ME",375
"253","Bethel, OH",NA
"254","Bethel, VT",250
"255","Bethesda, MD",NA
"256","Bethlehem, NY",NA
"257","Bethlehem, PA",NA
"258","Bethpage, NY",NA
"259","Bettendorf, IA",200
"260","Beverly Hills, CA",NA
"261","Beverly Hills, MI",NA
"262","Beverly, MA",NA
"263","Big Bear Lake, CA",NA
"264","Big Lake, MN",100
"265","Big Rapids, MI",400
"266","Big Spring, TX",20
"267","Big Stone Gap, VA",150
"268","Billerica, MA",200
"269","Billings, MT",NA
"270","Biloxi, MS",50
"271","Binghamton, NY",NA
"272","Birdsboro, PA",150
"273","Birmingham, AL",NA
"274","Birmingham, MI",NA
"275","Bisbee, AZ",78
"276","Bishop, CA",135
"277","Bismarck, ND",250
"278","Blacksburg, VA",93.5
"279","Blaine, MN",13
"280","Bloomfield Hills, MI",20
"281","Bloomfield, CT",NA
"282","Bloomfield, NJ",75
"283","Bloomingdale, GA",NA
"284","Bloomington, IL",NA
"285","Bloomington, IN",530.4
"286","Bloomington, MN",275
"287","Bloomsburg, PA",500
"288","Blue Ash, OH",500
"289","Blue Springs, MO",12
"290","Bluefield, WV",NA
"291","Bluffton, SC",75.5
"292","Boca Raton, FL",NA
"293","Boerne, TX",100
"294","Boise, ID",NA
"295","Bolingbrook, IL",300
"296","Bolton, CT",NA
"297","Bonita Springs, FL",30
"298","Bonney Lake, WA",11
"299","Boone, IA",200
"300","Boone, NC",165.5
"301","Boonton, NJ",600
"302","Boonville, MO",NA
"303","Bossier City, LA",NA
