"","PLACEFIPS","PostGFProtestCount"
"354","0650916",3
"355","0651182",8
"356","0651476",2
"357","0651560",5
"358","0652582",15
"359","0652694",3
"360","0652764",1
"361","0653000",153
"362","0653070",6
"363","0653294",1
"364","0653322",7
"365","0653476",2
"366","0653896",1
"367","0653980",3
"368","0654120",1
"369","0654232",1
"370","0654274",1
"371","0654386",5
"372","0654652",7
"373","0654806",1
"374","0655156",4
"375","0655184",7
"376","0655254",8
"377","0655282",52
"378","0655380",1
"379","0655618",1
"380","0656000",14
"381","0656700",2
"382","0656784",9
"383","0657288",3
"384","0657414",1
"385","0657456",3
"386","0657526",3
"387","0657540",7
"388","0657764",1
"389","0657792",7
"390","0658072",5
"391","0658240",2
"392","0658380",28
"393","0658520",9
"394","0659080",1
"395","0659346",5
"396","0659444",1
"397","0659451",6
"398","0659500",2
"399","0659514",2
"400","0659587",1
"401","0659892",7
"402","0659920",13
"403","0659962",10
"404","0660018",4
"405","0660102",10
"406","0660466",1
"407","0660620",15
"408","0660704",5
"409","0662000",8
"410","0662364",2
"411","0662546",2
"412","0662602",1
"413","0662938",10
"414","0663218",1
"415","0664000",87
"416","0664224",9
"417","0664434",1
"418","0665000",6
"419","0665028",1
"420","0665042",14
"421","0665070",3
"422","0665084",5
"423","0666000",168
"424","0666140",1
"425","0667000",194
"426","0667042",1
"427","0668000",109
"428","0668014",1
"429","0668084",7
"430","0668154",39
"431","0668196",2
"432","0668224",1
"433","0668252",7
"434","0668294",1
"435","0668364",17
"436","0668378",3
"437","0669000",15
"438","0669070",17
"439","0669084",4
"440","0669088",17
"441","0669112",23
"442","0669196",12
"443","0670000",14
"444","0670042",1
"445","0670098",27
"446","0670224",10
"447","0670280",1
"448","0670364",5
"449","0670588",1
"450","0670686",2
"451","0670742",11
"452","0670770",8
"453","0671806",2
"454","0672016",3
"455","0672506",3
"456","0672520",3
"457","0672576",6
"458","0672646",4
"459","0672674",34
"460","0673108",6
"461","0673220",10
"462","0673262",4
"463","0673696",1
"464","0673906",6
"465","0675000",16
"466","0677000",10
"467","0678092",9
"468","0678120",8
"469","0678148",1
"470","0678162",1
"471","0678582",13
"472","0678666",2
"473","0678960",1
"474","0680000",9
"475","0680238",3
"476","0680588",3
"477","0680812",9
"478","0681134",2
"479","0681204",3
"480","0681344",3
"481","0681554",15
"482","0681666",17
"483","0682590",5
"484","0682954",9
"485","0682996",3
"486","0683332",1
"487","0683346",24
"488","0683542",1
"489","0683668",6
"490","0683794",1
"491","0684200",1
"492","0684410",9
"493","0684438",1
"494","0684550",4
"495","0684928",1
"496","0685292",7
"497","0685600",2
"498","0685922",1
"499","0686034",1
"500","0686328",5
"501","0686832",3
"502","0686944",2
"503","0687042",11
"504","0687056",2
"505","0801090",2
"506","0803455",3
"507","0803620",7
"508","0804000",19
"509","0804110",1
"510","0806255",3
"511","0807850",14
"512","0808400",3
"513","0809280",2
"514","0811810",1
"515","0812045",1
"516","0812415",4
"517","0812815",1
"518","0816000",39
"519","0817375",9
"520","0817760",1
"521","0818310",4
"522","0819850",1
"523","0820000",109
"524","0820770",1
"525","0822035",14
"526","0822860",2
"527","0823300",1
"528","0823740",1
"529","0824785",1
"530","0824950",2
"531","0825115",5
"532","0825390",3
"533","0827425",11
"534","0827810",1
"535","0828305",2
"536","0830340",1
"537","0830780",3
"538","0830835",1
"539","0831660",10
"540","0832155",4
"541","0833035",2
"542","0833640",1
"543","0836410",2
"544","0838535",1
"545","0841560",2
"546","0841835",2
"547","0843000",3
"548","0845255",1
"549","0845955",1
"550","0845970",16
"551","0846355",2
"552","0846465",3
"553","0847070",3
"554","0848445",1
"555","0851745",4
"556","0854880",1
"557","0856420",1
"558","0857400",1
"559","0857630",1
"560","0862000",14
"561","0864200",1
"562","0864255",3
"563","0867280",2
"564","0870580",1
"565","0873825",4
"566","0873935",3
"567","0876795",2
"568","0880040",1
"569","0883835",2
"570","0901150",3
"571","0904790",3
"572","0904945",1
"573","0907345",2
"574","0908000",18
"575","0908420",4
"576","0908770",3
"577","0914200",2
"578","0915420",1
"579","0915840",2
"580","0917835",3
"581","0918220",3
"582","0918430",9
"583","0919200",1
"584","0919480",2
"585","0920740",1
"586","0922420",1
"587","0922700",3
"588","0922980",4
"589","0926370",1
"590","0931270",1
"591","0933690",10
"592","0934180",2
"593","0935020",1
"594","0937000",58
"595","0937770",1
"596","0937930",33
"597","0938050",1
"598","0939940",1
"599","0940150",3
"600","0941830",3
"601","0943300",1
"602","0944630",3
"603","0944690",14
"604","0946450",3
"605","0947290",4
"606","0947515",2
"607","0949810",3
"608","0949880",3
"609","0950370",5
"610","0952000",42
"611","0952210",1
"612","0952280",7
"613","0952770",1
"614","0952910",1
"615","0953120",3
"616","0954940",10
"617","0955990",5
"618","0956200",14
"619","0957390",5
"620","0960090",1
"621","0960260",1
"622","0961870",2
"623","0962640",1
"624","0963900",1
"625","0966455",1
"626","0967890",1
"627","0968100",3
"628","0969150",1
"629","0971530",2
"630","0972300",2
"631","0973000",18
"632","0973700",5
"633","0973980",1
"634","0975660",1
"635","0976500",8
"636","0978880",3
"637","0980000",9
"638","0980210",2
"639","0980420",1
"640","0980770",5
"641","0982660",15
"642","0982800",2
"643","0984970",2
"644","0985810",5
"645","0986380",1
"646","0987140",6
"647","0987980",1
"648","1010760",1
"649","1021200",8
"650","1028310",1
"651","1029090",1
"652","1031430",1
"653","1041830",3
"654","1047030",1
"655","1047420",1
"656","1047940",1
"657","1050670",1
"658","1050800",2
"659","1053920",1
"660","1054050",1
"661","1060290",3
"662","1064320",1
"663","1064840",1
"664","1077580",18
"665","1150000",620
"666","1200625",1
"667","1201700",1
"668","1205375",1
"669","1207300",13
"670","1207525",1
"671","1207875",3
"672","1207950",12
"673","1208700",1
"674","1210250",1
"675","1210275",3
"676","1211050",1
"677","1211975",1
"678","1212875",6
"679","1212925",2
"680","1213150",4
"681","1213175",2
"682","1213275",1
"683","1214250",4
"684","1214400",1
"685","1215300",2
"686","1216125",1
"687","1216335",1
"688","1216450",4
"689","1216475",14
"690","1216525",5
"691","1216550",1
"692","1216800",3
"693","1216875",4
"694","1217100",3
"695","1217325",2
"696","1217935",3
"697","1218575",1
"698","1220825",1
"699","1222175",1
"700","1222660",1
"701","1224000",26
"702","1224125",23
"703","1224300",2
"704","1224475",4
"705","1224825",4
"706","1224925",2
"707","1225175",23
"708","1225925",1
"709","1227650",1
"710","1228000",1
"711","1228175",1
"712","1228400",1
"713","1230000",2
"714","1230975",1
"715","1232000",2
"716","1232275",2
"717","1233250",2
"718","1233700",1
"719","1235000",39
"720","1235050",2
"721","1235550",2
"722","1235875",6
